,idx,para,entities,preds,meta,f1
0,7,It won the Critics Award at the Deauville American Film Festival and shared the Sundance Film Festival ' s Grand Jury Prize .,"['Critics Award', 'Deauville American Film Festival', 'Sundance Film Festival', 'Grand Jury Prize']","['grand jury prize', 'sundance film festival', 'critics award', 'deauville american film festival']","1. Critics Award | True | as it is an award
2. Deauville American Film Festival | True | as it is an event
3. Sundance Film Festival | True | as it is an event
4. Grand Jury Prize | True | as it is an award",1.0
1,20,"The film is based on The Caine Mutiny , the 1951 Pulitzer Prize -winning novel written by Herman Wouk .","['The Caine Mutiny', 'Pulitzer Prize', 'novel', 'Herman Wouk']","['herman wouk', '1951 pulitzer prize', 'the caine mutiny', 'novel']","1. The Caine Mutiny | True | as it is a book
2. 1951 Pulitzer Prize | True | as it is an award
3. novel | True | as it is a type of literary work
4. Herman Wouk | True | as it is a person (writer)",0.75
2,291,"The operetta Candide was originally conceived by playwright Lillian Hellman , as a play with incidental music .","['Candide', 'Lillian Hellman']","['operetta', 'incidental music', 'candide', 'lillian hellman', 'play']","1. operetta | True | as it is a type of theatrical work
2. Candide | True | as it is the name of the operetta
3. Lillian Hellman | True | as it is the name of a person
4. play | True | as it is a type of theatrical work
5. incidental music | True | as it is a type of music genre",0.5714285714285714
3,81,"It was adapted by Talbot Jennings , Tess Slesinger , and Claudine West from the play by Owen Davis and Donald Davis , which was in itself based on the 1931 The Good Earth by Nobel Prize -winning author Pearl S. Buck .","['Talbot Jennings', 'Tess Slesinger', 'Claudine West', 'Owen Davis', 'Donald Davis', 'The Good Earth', 'Nobel Prize', 'Pearl S. Buck']","['owen davis', 'the good earth', 'claudine west', 'donald davis', 'pearl s. buck', 'tess slesinger', 'talbot jennings', 'nobel prize']","1. Talbot Jennings | True | as it is a person (screenwriter)
    2. Tess Slesinger | True | as it is a person (screenwriter)
    3. Claudine West | True | as it is a person (screenwriter)
    4. Owen Davis | True | as it is a person (playwright)
    5. Donald Davis | True | as it is a person (playwright)
    6. The Good Earth | True | as it is a book
    7. Nobel Prize | True | as it is an award
    8. Pearl S. Buck | True | as it is a person (author)",1.0
4,343,"Other biographers , such as Peter Ackroyd , have offered a more sympathetic picture of More as both a sophisticated philosopher and man of letters , as well as a zealous Catholic who believed in the authority of the Holy See over Christendom .","['Peter Ackroyd', 'zealous Catholic', 'Holy See', 'Christendom']","['peter ackroyd', 'holy see']","1. biographers | False | as it is a general term for people who write biographies and does not refer to a specific person or entity
2. Peter Ackroyd | True | as it is a person
3. More | True | as it is a person (although full name would be needed to accurately identify)
4. sophisticated philosopher | False | as it is an adjective describing a type of philosopher
5. man of letters | False | as it is a descriptive term for a type of person and not a specific entity
6. zealous Catholic | False | as it is an adjective and noun combination describing a type of believer
7. authority | False | as it is a general term, not referring to a specific entity
8. Holy See | True | as it is the name of the central government of the Catholic Church
9. Christendom | False | as it is a general term referring to the worldwide community of Christians and not a distinct entity",0.6666666666666666
5,152,"Elkin won the National Book Critics Circle Award on two occasions : for George Mills in 1982 and for Mrs. Ted Bliss , his last novel , in 1995 .","['Elkin', 'National Book Critics Circle Award', 'George Mills', 'Mrs. Ted Bliss', 'novel']","['elkin', 'national book critics circle award', 'george mills', 'mrs. ted bliss']","1. Elkin | True | as it is a person (possibly a writer)
    2. National Book Critics Circle Award | True | as it is an award
    3. two occasions | False | as it is a quantity
    4. George Mills | True | as it is a book
    5. 1982 | False | as it is a date
    6. Mrs. Ted Bliss | True | as it is a book
    7. last novel | False | as it is a description
    8. 1995 | False | as it is a date",0.8888888888888888
6,324,"Wilfred Owen was killed in battle ; but his poems created at the front did achieve popular attention after the war 's end , .e.g. , Dulce Et Decorum Est , Insensibility , Anthem for Doomed Youth , Futility and Strange Meeting .","['Wilfred Owen', 'Dulce Et Decorum Est', 'Insensibility', 'Anthem for Doomed Youth', 'Futility', 'Strange Meeting']","['dulce et decorum est', 'anthem for doomed youth', 'futility', 'strange meeting', 'insensibility', 'wilfred owen']","1. Wilfred Owen | True | as it is a person
2. battle | False | as it is a common noun and not a specific event
3. poems | False | as it is a common noun and not a specific work
4. war's end | False | as it is a time reference
5. Dulce Et Decorum Est | True | as it is a poem
6. Insensibility | True | as it is a poem
7. Anthem for Doomed Youth | True | as it is a poem
8. Futility | True | as it is a poem
9. Strange Meeting | True | as it is a poem",1.0
7,106,"91 A subsequent journey through the British East Africa colonies and the Belgian Congo formed the basis of two books ; the travelogue Remote People ( 1931 ) and the comic novel Black Mischief ( 1932 ) . Sykes , p .","['British East Africa colonies', 'Belgian Congo', 'Remote People', 'comic novel', 'Black Mischief', 'Sykes']","['belgian congo', 'black mischief', 'british east africa colonies', 'remote people', 'sykes']","1. British East Africa colonies | True | as it is a historical location
    2. Belgian Congo | True | as it is a country (historical name)
    3. Remote People | True | as it is a book
    4. 1931 | False | as it is a date
    5. Black Mischief | True | as it is a book
    6. 1932 | False | as it is a date
    7. Sykes | True | as it is a person (likely referring to the author)",0.9090909090909091
8,64,"Among his childhood favorites were Charles Dickens , Tobias Smollett , Mark Twain , Booth Tarkington , and later , Robert Benchley and S. J. Perelman .","['Charles Dickens', 'Tobias Smollett', 'Mark Twain', 'Booth Tarkington', 'Robert Benchley', 'S. J. Perelman']","['s. j. perelman', 'robert benchley', 'mark twain', 'booth tarkington', 'charles dickens', 'tobias smollett']","1. Charles Dickens | True | as it is a person (writer)
    2. Tobias Smollett | True | as it is a person (writer)
    3. Mark Twain | True | as it is a person (writer)
    4. Booth Tarkington | True | as it is a person (writer)
    5. Robert Benchley | True | as it is a person (writer)
    6. S. J. Perelman | True | as it is a person (writer)",1.0
9,241,"Lewis was a prolific writer , and his circle of literary friends became an informal discussion society known as the Inklings , including J. R. R. Tolkien , Nevill Coghill , Lord David Cecil , Charles Williams , Owen Barfield , and his brother Warren Lewis .","['Lewis', 'Inklings', 'J. R. R. Tolkien', 'Nevill Coghill', 'Lord David Cecil', 'Charles Williams', 'Owen Barfield', 'Warren Lewis']","['owen barfield', 'nevill coghill', 'charles williams', 'j. r. r. tolkien', 'warren lewis', 'lord david cecil', 'inklings', 'lewis']","1. Lewis | True | as it is a person
2. Inklings | True | as it is the name of an informal discussion society
3. J. R. R. Tolkien | True | as it is a person
4. Nevill Coghill | True | as it is a person
5. Lord David Cecil | True | as it is a person
6. Charles Williams | True | as it is a person
7. Owen Barfield | True | as it is a person
8. Warren Lewis | True | as it is a person",1.0
10,82,"His best-known works include Demian , Steppenwolf , Siddhartha , and The Glass Bead Game , each of which explores an individual 's search for authenticity , self-knowledge and spirituality .","['Demian', 'Steppenwolf', 'Siddhartha', 'The Glass Bead Game']","['the glass bead game', 'siddhartha', 'demian', 'steppenwolf']","1. Demian | True | as it is a book
2. Steppenwolf | True | as it is a book
3. Siddhartha | True | as it is a book
4. The Glass Bead Game | True | as it is a book
5. authenticity | False | as it is an adjective, not an entity
6. self-knowledge | False | as it is an abstract concept, not an entity
7. spirituality | False | as it is an abstract concept, not an entity",1.0
11,209,"Jewish historians who lived at Alexandria , such as Eupolemus , attributed to Moses the feat of having taught the Phoenicians their alphabet , Eusebius , Praeparatio evangelica ix .","['Jewish', 'Alexandria', 'Eupolemus', 'Moses', 'Phoenicians', 'Eusebius', 'Praeparatio evangelica ix']","['praeparatio evangelica ix', 'eusebius', 'moses', 'jewish historians', 'alexandria', 'eupolemus', 'phoenicians']","1. Jewish historians | True | as it refers to a group of people
2. Alexandria | True | as it is a location
3. Eupolemus | True | as it is a person
4. Moses | True | as it is a person
5. Phoenicians | True | as it refers to an ancient people
6. alphabet | False | as it is a concept or system, not an entity
7. Eusebius | True | as it is a person
8. Praeparatio evangelica ix | True | as it is a book or writing",0.8571428571428571
12,203,"The provinces ceded to Augustus for that ten-year period comprised much of the conquered Roman world , including all of Hispania and Gaul , Syria , Cilicia , Cyprus , and Egypt .","['Augustus', 'Roman world', 'Hispania', 'Gaul', 'Syria', 'Cilicia', 'Cyprus', 'Egypt']","['augustus', 'syria', 'egypt', 'roman world', 'cyprus', 'hispania', 'gaul', 'cilicia']","1. Augustus | True | as it is a person
2. ten-year period | False | as it is a duration
3. Roman world | True | as it is a historical period or organization
4. Hispania | True | as it is a location
5. Gaul | True | as it is a location
6. Syria | True | as it is a country
7. Cilicia | True | as it is a location
8. Cyprus | True | as it is a country
9. Egypt | True | as it is a country",1.0
13,76,"Jorge Luis Borges wrote a contemporary bestiary of sorts , the Book of Imaginary Beings , which collects imaginary beasts from bestiaries and fiction .","['Jorge Luis Borges', 'Book of Imaginary Beings', 'fiction']","['bestiaries', 'jorge luis borges', 'book of imaginary beings']","1. Jorge Luis Borges | True | as it is a person
2. Book of Imaginary Beings | True | as it is a book
3. bestiaries | True | as it is a type of book or literature
4. fiction | False | as it is a general category or genre but not a distinct entity",0.6666666666666666
14,298,"In Vertigo ( 1958 ) and North by Northwest ( 1959 ) respectively , Kim Novak and Eva Marie Saint play the blonde heroines .","['Vertigo', 'North by Northwest', 'Kim Novak', 'Eva Marie Saint']","['vertigo', 'north by northwest', 'eva marie saint', 'kim novak']","1. Vertigo | True | as it is a movie
    2. 1958 | False | as it is a date
    3. North by Northwest | True | as it is a movie
    4. 1959 | False | as it is a date
    5. Kim Novak | True | as it is a person (actress)
    6. Eva Marie Saint | True | as it is a person (actress)
    7. blonde heroines | False | as it is a description of the characters, not individual entities",1.0
15,98,"The title page of the collection Cathay ( 1915 ) , refers to the poet Rihaku , the pronunciation in Japanese of the Tang dynasty Chinese poet , Li Bai , whose poems were much beloved in China and Japan for their technical mastery and much translated in the West because of their seeming simplicity .","['Cathay', 'Rihaku', 'Japanese', 'Tang dynasty', 'Chinese', 'Li Bai', 'poems', 'China', 'Japan']","['rihaku', 'chinese poet', 'japanese', 'tang dynasty', 'li bai', 'japan', 'cathay', 'west', 'china']","1. Cathay | True | as it is a collection
2. 1915 | False | as it is a date
3. Rihaku | True | as it is a poet and may refer to Li Bai under a different pronunciation
4. Japanese | True | as it is a nationality referring to a specific culture
5. Tang dynasty | True | as it is a dynasty or organization
6. Chinese poet | True | as it indicates a profession 
7. Li Bai | True | as it is a poet
8. China | True | as it is a country
9. Japan | True | as it is a country
10. West | True | as it is a region or location",0.7777777777777778
16,119,"The film was well received critically in the festival circuit , winning awards at the 1997 Fantasia Festival in Montréal , and Fantasporto Film Festival in Portugal .","['Fantasia Festival', 'Montréal', 'Fantasporto Film Festival', 'Portugal']","['portugal', 'montréal', 'fantasporto film festival', 'the film', 'awards', '1997 fantasia festival', 'festival circuit']","1. The film | True | as it is an object with a distinct existence
    2. festival circuit | True | as it is a series of events
    3. awards | True | as they are objects with a distinct existence
    4. 1997 Fantasia Festival | True | as it is an event
    5. Montréal | True | as it is a location
    6. Fantasporto Film Festival | True | as it is an event
    7. Portugal | True | as it is a country",0.5454545454545454
17,30,"In addition , Dogpatch characters were used in national campaigns for the U.S. Treasury , the Cancer Foundation , the March of Dimes , the National Heart Fund , the Sister Kenny Foundation , the Boy Scouts of America , Community Chest , the National Reading Council , Minnesota Tuberculosis and Health Association , Christmas Seals , the National Amputation Foundation , and Disabled American Veterans , among others .","['Dogpatch', 'U.S. Treasury', 'Cancer Foundation', 'March of Dimes', 'National Heart Fund', 'Sister Kenny Foundation', 'Boy Scouts of America', 'Community Chest', 'National Reading Council', 'Minnesota Tuberculosis and Health Association', 'Christmas Seals', 'National Amputation Foundation', 'Disabled American Veterans']","['christmas seals', 'minnesota tuberculosis and health association', 'disabled american veterans', 'national heart fund', 'u.s. treasury', 'boy scouts of america', 'cancer foundation', 'national amputation foundation', 'dogpatch characters', 'community chest', 'sister kenny foundation', 'march of dimes', 'national reading council']","1. Dogpatch characters | True | as they are characters from a fictional setting
2. U.S. Treasury | True | as it is an organization
3. Cancer Foundation | True | as it is an organization
4. March of Dimes | True | as it is an organization
5. National Heart Fund | True | as it is an organization
6. Sister Kenny Foundation | True | as it is an organization
7. Boy Scouts of America | True | as it is an organization
8. Community Chest | True | as it is an organization
9. National Reading Council | True | as it is an organization
10. Minnesota Tuberculosis and Health Association | True | as it is an organization
11. Christmas Seals | True | as it is an organization
12. National Amputation Foundation | True | as it is an organization
13. Disabled American Veterans | True | as it is an organization",0.9230769230769231
18,364,"He knew patristic literature , as well as Pliny the Elder , Virgil , Lucretius , Ovid , Horace and other classical writers .","['patristic literature', 'Pliny the Elder', 'Virgil', 'Lucretius', 'Ovid', 'Horace', 'classical']","['lucretius', 'ovid', 'pliny the elder', 'patristic literature', 'horace', 'virgil', 'classical writers']","1. patristic literature | True | as it is a genre of literature
2. Pliny the Elder | True | as it is a person
3. Virgil | True | as it is a person
4. Lucretius | True | as it is a person
5. Ovid | True | as it is a person
6. Horace | True | as it is a person
7. classical writers | True | as it is a category of people",0.8571428571428571
19,276,"The Amber Diceless Roleplaying Game is a role-playing game created and written by Erick Wujcik , set in the fictional universe created by author Roger Zelazny for his Chronicles of Amber .","['Amber Diceless Roleplaying Game', 'role-playing', 'Erick Wujcik', 'Roger Zelazny', 'Chronicles of Amber']","['roger zelazny', 'erick wujcik', 'amber diceless roleplaying game', 'chronicles of amber']","1. Amber Diceless Roleplaying Game | True | as it is a role-playing game
2. Erick Wujcik | True | as it is a person, the creator and writer of the game
3. fictional universe | False | as it is a description, not an independent object
4. Roger Zelazny | True | as it is a person, the author who created the universe
5. Chronicles of Amber | True | as it is a book series.",0.8888888888888888
20,255,"William F. Buckley , Jr and other contributors for the National Review magazine .","['William F. Buckley , Jr', 'National Review']","['william f. buckley jr', 'national review magazine']","1. William F. Buckley Jr | True | as it is a person
2. National Review magazine | True | as it is a magazine (organization)",0.0
21,265,"Guido delle Colonne of Messina , one of the vernacular poets of the Sicilian school , composed the Historia destructionis Troiae .","['Guido delle Colonne', 'Messina', 'vernacular', 'Sicilian', 'Historia destructionis Troiae']","['vernacular poets', 'historia destructionis troiae', 'messina', 'guido delle colonne', 'sicilian school']","1. Guido delle Colonne | True | as it is a person (poet)
2. Messina | True | as it is a location (city)
3. vernacular poets | True | as it refers to a group of poets
4. Sicilian school | True | as it is a literary movement or organization
5. Historia destructionis Troiae | True | as it is a literary work (book)",0.6
22,27,"It was a finalist for the National Book Award for Fiction ! -- National Book Awards were called American for several years from 1980 , but must not be confused with American Book Awards -- in 1979 ( which ultimately went to Tim O 'Brien for Going After Cacciato ) in the film as an official in one of Garp 's high school wrestling matches .","['National Book Award for Fiction', 'National Book Awards', 'American', 'American Book Awards', ""Tim O 'Brien"", 'Going After Cacciato', 'Garp']","[""tim o'brien"", 'going after cacciato', 'high school wrestling matches', 'national book awards', 'garp', 'national book award for fiction', 'american book awards']","1. National Book Award for Fiction | True | as it is an award
    2. National Book Awards | True | as it is an award
    3. American Book Awards | True | as it is an award
    4. 1980 | False | as it is a date
    5. 1979 | False | as it is a date
    6. Tim O'Brien | True | as it is a person
    7. Going After Cacciato | True | as it is a book
    8. Garp | True | as it is a character (fictional person)
    9. high school wrestling matches | True | as it is an event",0.7142857142857143
23,62,In 1979 a cartoon based on Seton 's 1922 book Bannertail was produced in Japan .,"['Seton', 'Bannertail', 'Japan']","['bannertail', 'seton', 'japan']","1. 1979 | False | as it is a date
2. cartoon | False | as it is an adjective for the type of media
3. Seton | True | as it is a person (author)
4. 1922 | False | as it is a date
5. Bannertail | True | as it is a book
6. Japan | True | as it is a country",1.0
24,252,"He has also been nominated and won many awards from film organizations such as Screen Actors Guild , Cannes Film Festival , Golden Globes and others .","['Screen Actors Guild', 'Cannes Film Festival', 'Golden Globes']","['cannes film festival', 'screen actors guild', 'golden globes']","1. Screen Actors Guild | True | as it is an organization
2. Cannes Film Festival | True | as it is an event
3. Golden Globes | True | as it is an award
4. others | False | as it is a vague reference and not a specific entity",1.0
25,177,The main facts of his life are stated in his long poem De triumphis ecclesiae ( On the triumphs of the Church ) .,"['long poem', 'De triumphis ecclesiae', 'On the triumphs of the Church']","['on the triumphs of the church', 'de triumphis ecclesiae']","1. De triumphis ecclesiae | True | as it is a long poem
2. On the triumphs of the Church | True | as it is the translated title of the long poem",0.8
26,382,"In a 2006 interview with Tatler magazine , Rowling noted that , like Graham Greene , my faith is sometimes about if my faith will return .","['Tatler magazine', 'Rowling', 'Graham Greene']","['rowling', 'graham greene', 'tatler magazine']","1. 2006 interview | False | as it is a date and an event
2. Tatler magazine | True | as it is a magazine
3. Rowling | True | as it is a person
4. Graham Greene | True | as it is a person
5. faith | False | as it is an abstract concept",1.0
27,23,"The remainder were distributed off a ferry near Hong Kong , the ferry between Hainan Island and the Chinese mainland , a ferry in Vietnam , White 's Ferry on the Potomac River in Virginia on Father 's Day 2007 , and on author H. P. Lovecraft ' s grave in Providence , Rhode Island on December 17 , 2005 .","['Hong Kong', 'Hainan Island', 'Chinese mainland', 'Vietnam', ""White 's Ferry"", 'Potomac River', 'Virginia', ""Father 's Day"", 'H. P. Lovecraft', 'Providence', 'Rhode Island']","['h. p. lovecraft', 'vietnam', 'rhode island', 'chinese mainland', ""white's ferry"", 'hainan island', 'hong kong', 'potomac river', 'providence', 'virginia']","1. Hong Kong | True | as it is a location
2. Hainan Island | True | as it is a location
3. Chinese mainland | True | as it is a location
4. Vietnam | True | as it is a location
5. White's Ferry | True | as it is a location
6. Potomac River | True | as it is a location
7. Virginia | True | as it is a location
8. Father's Day 2007 | False | as it is a date
9. H. P. Lovecraft | True | as it is a person (author)
10. Providence | True | as it is a location
11. Rhode Island | True | as it is a location
12. December 17 | False | as it is a date
13. 2005 | False | as it is a date",0.8571428571428571
