,defn,sentence,list1,list2,gptlist,f1,dataset,id,num,gptcorrect,gptcorrect_agreement,truecorrect,truecorrect_agreement,gptbetter,gptbetter_agreement,gptworse,gptworse_agreement,gptmissing,gptextra,truemissing,trueextra
0,"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location",The method of defining the linked list specifies the use of a depth-first search or a breadth-first search .,"depth-first search, breadth-first search","breadth-first search, linked list, depth-first search",2,0.8,ai,0,3.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0
1,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Chekhov has also influenced the work of Japanese playwrights including Shimizu Kunio , Yōji Sakate , and Ai Nagai .","japanese playwrights, yōji sakate, shimizu kunio, chekhov, ai nagai","yōji sakate, japanese, chekhov, shimizu kunio, ai nagai",1,0.8,lit,1,3.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333
2,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Investigative journalist Michael Specter , in an article in The New Yorker on 25 August 2014 entitled Seeds of Doubt ,","michael specter, the new yorker, seeds of doubt","michael specter, seeds of doubt, the new yorker, investigative journalist",2,0.8571428571428571,lit,2,3.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
3,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","He knew patristic literature , as well as Pliny the Elder , Virgil , Lucretius , Ovid , Horace and other classical writers .","horace, lucretius, pliny the elder, classical, patristic literature, ovid, virgil","patristic literature, virgil, classical writers, lucretius, pliny the elder, ovid, horace",2,0.8571428571428571,lit,3,3.0,0.0,0.5,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.3333333333333333,1.0
4,"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","( February 20 , 1912 - August 11 , 2011 ) was an American inventor , best known for creating Unimate , the first industrial robot .","american, unimate",unimate,2,0.6666666666666666,ai,4,3.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,1.0,0.0,0.6666666666666666,0.3333333333333333
5,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Poet and lead singer of King Missile , John S. Hall has also long been a vocal opponent , taking issue with such factors as its inherently competitive nature In his 2005 interview in Words In Your Face : A Guided Tour Through Twenty Years of the New York City Poetry Slam , he recalls seeing his first slam , at the Nuyorican Poets Café : ... I hated it .","words in your face : a guided tour through twenty years of the new york city poetry slam, nuyorican poets café, king missile, john s. hall","nuyorican poets café, john s. hall, king missile, new york city poetry slam, words in your face: a guided tour through twenty years of the new york city poetry slam",2,0.6666666666666666,lit,5,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0
6,"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","NMF is an instance of nonnegative quadratic programming ( NQP ) , just like the support vector machine ( SVM ) .","support vector machine (svm, nonnegative quadratic programming (nqp, nmf (non-negative matrix factorization","support vector machine, nmf, nonnegative quadratic programming, svm, nqp",1,0.0,ai,6,3.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.6666666666666666,0.0,0.0
7,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","Although Nietzsche had previously announced at the end of On the Genealogy of Morality a new work with the title The Will to Power : Attempt at a Revaluation of All Values , he eventually seems to have abandoned this idea and instead used some of the draft passages to compose Twilight of the Idols and The Antichrist in 1888 .","the antichrist, the will to power, nietzsche, on the genealogy of morality, attempt at a revaluation of all values, twilight of the idols","nietzsche, on the genealogy of morality, the will to power : attempt at a revaluation of all values, twilight of the idols, the antichrist",1,0.7272727272727273,lit,7,3.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0
8,"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location",This was the second Senatorial race for Gordon Smith in 1996 ; he had previously lost to Ron Wyden in the 1996 United States Senate special election in Oregon to fill Bob Packwood ' s seat .,"gordon smith, bob packwood, 1996 united states senate special election in oregon, ron wyden","oregon, ron wyden, gordon smith, 1996 united states senate special election, bob packwood",2,0.6666666666666666,pol,8,3.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333
9,"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","In Vancouver 's 2011 Vancouver municipal election , Anton was the Non-Partisan Association candidate for Mayor of Vancouver , eventually losing to incumbent Gregor Robertson of Vision Vancouver .","gregor robertson, vancouver, vision vancouver, non-partisan association, anton, 2011 vancouver municipal election","vancouver, vision vancouver, non-partisan association, vancouver, gregor robertson, 2011 vancouver municipal election",1,0.9090909090909092,pol,9,3.0,0.0,0.5,0.0,1.0,1.0,0.5,0.0,1.0,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333
10,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","In 1857 , Dickens hired professional actresses for the play The Frozen Deep , written by him and his protégé , Wilkie Collins .","wilkie collins, dickens, the frozen deep","dickens, wilkie collins, the frozen deep, professional actresses",2,0.8571428571428571,lit,10,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0
11,"Named entities are phrases that represent the name of a field, task, product, algorithm, researcher, metrics, university, country, person, organization or location","At UCSD , Norman was a founder of the Institute for Cognitive Science and one of the organizers of the Cognitive Science Society ( along with Roger Schank , Allan M. Collins , and others ) , which held its first meeting at the UCSD campus in 1979 .","norman, roger schank, allan m. collins, ucsd, ucsd, the institute for cognitive science, cognitive science society","ucsd, cognitive science society, norman, allan m. collins, roger schank, institute for cognitive science",2,0.8333333333333334,ai,11,3.0,1.0,1.0,0.0,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0
12,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","It was a finalist for the National Book Award for Fiction ! -- National Book Awards were called American for several years from 1980 , but must not be confused with American Book Awards -- in 1979 ( which ultimately went to Tim O 'Brien for Going After Cacciato ) in the film as an official in one of Garp 's high school wrestling matches .","american book awards, tim o'brien, national book award for fiction, high school wrestling matches, national book awards, garp, going after cacciato","tim o 'brien, going after cacciato, american, garp, national book awards, national book award for fiction, american book awards",1,0.7142857142857143,lit,12,3.0,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0
13,"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","These included depictions of local Civil Defence during World War II including St. John Ambulance , the British Red Cross and the fire services along with air raid wardens , police officers , the Home Guard and the Royal Voluntary Service .","royal voluntary service, st. john ambulance, world war ii, home guard, british red cross, local civil defence","british red cross, home guard, police officers, fire services, air raid wardens, st. john ambulance, royal voluntary service, civil defence, world war ii",2,0.6666666666666666,music,13,3.0,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.0,1.3333333333333333,1.3333333333333333,0.6666666666666666
14,"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","In May 2012 the Likeminded Group formed an alliance with the PML ( N ) in a bid to unite all Pakistan Muslim League factions under the leadership of Nawaz Sharif , with the aim of defeating the Pakistan Tehreek-e-Insaf and the ruling coalition of Pakistan Peoples Party and PML ( Q ) in the upcoming 2013 Pakistani general election .","pakistan muslim league, pakistan tehreek-e-insaf, nawaz sharif, pml, 2013 pakistani general election, pml, pakistan peoples party","pml (q, nawaz sharif, pml (n, 2013 pakistani general election, likeminded group, pakistan muslim league, pakistan peoples party, pakistan tehreek-e-insaf",2,0.7142857142857143,pol,14,3.0,1.0,0.5,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.3333333333333333,1.6666666666666667,0.3333333333333333
15,"Named entities are phrases that represent the name of a music genre, song, band, album, musical artist, musical instrument, award, event, country, location, organization or person","142 He returned to the stage on 8 September 2005 , appearing with Arcade Fire for the US nationally televised event Fashion Rocks , and performed with the Canadian band for the second time a week later during the CMJ Music Marathon . Thompson ( 2006 ) : pp. 291-92 He contributed backing vocals on TV on the Radio ' s song Province for their album Return to Cookie Mountain ,","arcade fire, fashion rocks, province, us, return to cookie mountain, thompson, canadian, cmj music marathon, tv on the radio","us, fashion rocks, return to cookie mountain, province, cmj music marathon, tv on the radio, arcade fire",2,0.875,music,15,3.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,1.6666666666666667,0.0,0.6666666666666666,0.6666666666666666
16,"Named entities are phrases that represent the name of a politician, person, organization, political party, event, election, country or location","During the early stages of World War II , the United Kingdom and France Allies of World War II made a series of proposals to send troops to assist Finland against the Soviet Union in the Winter War , which started on 30 November 1939 .","france, winter war, united kingdom, allies of world war ii, finland, world war ii, soviet union","winter war, soviet union, france allies, united kingdom, world war ii, world war ii",1,0.6666666666666666,pol,16,3.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,1.0,1.0,0.3333333333333333,2.0,0.3333333333333333
17,"Named entities are phrases that represent the name of a book, writer, award, poem, event, magazine, person, location, organization, country, miscellaneous","As a distinguished writer sympathizing with the cause of communism , he was invited to speak at Maxim Gorky ' s funeral and to tour the Soviet Union as a guest of the Soviet Union of Writers .","communism, soviet union, maxim gorky ' s funeral, soviet union of writers","soviet union, maxim gorky, soviet union of writers, distinguished writer, communism",2,0.6666666666666666,lit,17,3.0,0.0,1.0,1.0,0.5,0.0,0.5,1.0,0.5,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333
