,idx,para,entities,preds,meta,f1
0,148,"Sowa received a BS in mathematics from Massachusetts Institute of Technology in 1962 , an MA in applied from Harvard University in 1966 , and a PhD in computer science from the Vrije Universiteit Brussel in 1999 on a dissertation titled Knowledge Representation : Logical , Philosophical , and Computational Foundations .","['Sowa', 'BS', 'mathematics', 'Massachusetts Institute of Technology', 'MA', 'applied', 'Harvard University', 'PhD', 'computer science', 'Vrije Universiteit Brussel', 'Knowledge Representation : Logical , Philosophical , and Computational Foundations']","['massachusetts institute of technology', 'sowa', 'vrije universiteit brussel', 'harvard university']","1. Sowa | True | as it is a person
2. BS in mathematics | False | as it is a degree
3. Massachusetts Institute of Technology | True | as it is a university
4. 1962 | False | as it is a date
5. MA in applied | False | as it is an incomplete degree
6. Harvard University | True | as it is a university
7. 1966 | False | as it is a date
8. PhD in computer science | False | as it is a degree
9. Vrije Universiteit Brussel | True | as it is a university
10. 1999 | False | as it is a date
11. Knowledge Representation: Logical, Philosophical, and Computational Foundations | False | as it is a dissertation title",0.5333333333333333
1,295,An empirical whitening transform is obtained by estimating the covariance ( e.g. by maximum likelihood ) and subsequently constructing a corresponding estimated whitening matrix ( e.g. by Cholesky decomposition ) .,"['whitening transform', 'covariance', 'maximum likelihood', 'whitening matrix', 'Cholesky decomposition']","['cholesky decomposition', 'empirical whitening transform', 'estimated whitening matrix', 'maximum likelihood']","1. empirical whitening transform | True | as it is a technique or method in AI
    2. covariance | False | as it is a statistical term or measure
    3. maximum likelihood | True | as it is a statistical method in AI
    4. estimated whitening matrix | True | as it is a concept in AI
    5. Cholesky decomposition | True | as it is a mathematical method used in AI",0.4444444444444444
2,238,"It is based on the Bilingual evaluation understudy metric , but with some alterations .",['Bilingual evaluation understudy metric'],['bilingual evaluation understudy metric'],1. Bilingual evaluation understudy metric | True | as it is a metric in artificial intelligence,1.0
3,134,The following MATLAB code demonstrates a concrete solution for solving the non-linear system of equations presented in the previous section : See also,"['MATLAB', 'non-linear system']",['matlab'],"1. MATLAB | True | as it is a product or tool
2. non-linear system of equations | False | as it is a type of problem
3. previous section | False | as it is a reference to another part of a text",0.6666666666666666
4,334,"In English , WordNet is an example of a semantic network .","['English', 'WordNet']","['wordnet', 'semantic network']","1. English | False | as it is a language
2. WordNet | True | as it is a product or tool
3. semantic network | True | as it is a concept in AI",0.5
5,226,"In 2007 , at the International Conference on Computer Vision , Terzopoulos was awarded the inaugural IEEE PAMI Computer Vision Distinguished Researcher Award for pioneering and sustained research on deformable models and their applications .","['International Conference on Computer Vision', 'Terzopoulos', 'inaugural IEEE PAMI Computer Vision Distinguished Researcher Award']","['international conference on computer vision', 'terzopoulos', 'deformable models', 'ieee pami computer vision distinguished researcher award']","1. 2007 | False | as it is a date
2. International Conference on Computer Vision | True | as it is an event/organization
3. Terzopoulos | True | as it is a person
4. IEEE PAMI Computer Vision Distinguished Researcher Award | True | as it is an award or recognition
5. deformable models | True | as it is a field or technique in AI
6. applications | False | as it is a general term",0.5714285714285714
