text,entities,truth,pred,meta,f1,pred_text,truth_text,correct
"NSA Bethesda is responsible for base operational support for its major tenant , the Walter Reed National Military Medical Center .","['NSA Bethesda', 'Walter Reed National Military Medical Center']","['B-organisation', 'I-organisation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'O']","['B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'O']","1. NSA Bethesda | True | as it is a specific location or place name, but not a country (location)
2. base operational support | False | as it is a phrase indicating duties or tasks, not an entity
3. Walter Reed National Military Medical Center | True | as it is an organization or institution name (organisation)",0.5,"NSA | B-location Bethesda | I-location is | O responsible | O for | O base | O operational | O support | O for | O its | O major | O tenant | O , | O the | O Walter | B-organisation Reed | I-organisation National | I-organisation Military | I-organisation Medical | I-organisation Center | I-organisation . | O","NSA | B-organisation Bethesda | I-organisation is | O responsible | O for | O base | O operational | O support | O for | O its | O major | O tenant | O , | O the | O Walter | B-organisation Reed | I-organisation National | I-organisation Military | I-organisation Medical | I-organisation Center | I-organisation . | O",False
"Pattern recognition is closely related to artificial intelligence and machine learning ,","['Pattern recognition', 'artificial intelligence', 'machine learning']","['B-field', 'I-field', 'O', 'O', 'O', 'O', 'B-field', 'I-field', 'O', 'B-field', 'I-field', 'O']","['B-field', 'I-field', 'O', 'O', 'O', 'O', 'B-field', 'I-field', 'O', 'B-field', 'I-field', 'O']","1. Pattern recognition | True | as it is a field in AI (field)
2. artificial intelligence | True | as it is a field of study (field)
3. machine learning | True | as it is a field of AI (field)",1.0,"Pattern | B-field recognition | I-field is | O closely | O related | O to | O artificial | B-field intelligence | I-field and | O machine | B-field learning | I-field , | O","Pattern | B-field recognition | I-field is | O closely | O related | O to | O artificial | B-field intelligence | I-field and | O machine | B-field learning | I-field , | O",True
"Devol collaborated with Engelberger , who served as president of the company , to engineer and produce an industrial robot under the brand name Unimate .","['Devol', 'Engelberger', 'industrial robot', 'Unimate']","['B-researcher', 'O', 'O', 'B-researcher', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'O', 'O', 'B-product', 'O']","['B-person', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O']","1. Devol | True | as it is person's name (person)
    2. Engelberger | True | as it is person's name (person)
    3. president | False | as it is a role and not a specific entity
    4. company | False | as it is not a named organisation
    5. engineer and produce | False | as they are verbs/actions
    6. industrial robot | False | as it is a general term and not a named product or entity.
    7. brand name | False | as it is a feature not an entity. 
    8. Unimate | True | as it is the name of a product (product)",0.2857142857142857,"Devol | B-person collaborated | O with | O Engelberger | B-person , | O who | O served | O as | O president | O of | O the | O company | O , | O to | O engineer | O and | O produce | O an | O industrial | O robot | O under | O the | O brand | O name | O Unimate | B-product . | O","Devol | B-researcher collaborated | O with | O Engelberger | B-researcher , | O who | O served | O as | O president | O of | O the | O company | O , | O to | O engineer | O and | O produce | O an | O industrial | B-product robot | I-product under | O the | O brand | O name | O Unimate | B-product . | O",False
"In particular , they are used during the calculation of likelihood of a tree ( in Bayesian and maximum likelihood approaches to tree estimation ) and they are used to estimate the evolutionary distance between sequences from the observed differences between the sequences .","['Bayesian', 'maximum likelihood']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-algorithm', 'O', 'B-algorithm', 'I-algorithm', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-field', 'O', 'B-field', 'I-field', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. calculation | False | as it is an action and does not represent a person, location, organisation, etc.
2. likelihood of a tree | False | as it is not a specific task or field in AI or computer science.
3. Bayesian | True | as it refers to Bayes' theorem, which is used in a wide range of computing fields, including AI (field).
4. maximum likelihood | True | as it is a method used in machine learning, a branch of AI (field).
5. tree estimation | False | as it is not a defined task or field in AI, machine learning, or computer science.
6. evolutionary distance | False | as it is not a known metric or task in AI or machine learning.
7. sequences | False | as it is a general term and does not represent a specific algorithm, product, or other entity related to AI research.",0.0,"In | O particular | O , | O they | O are | O used | O during | O the | O calculation | O of | O likelihood | O of | O a | O tree | O ( | O in | O Bayesian | B-field and | O maximum | B-field likelihood | I-field approaches | O to | O tree | O estimation | O ) | O and | O they | O are | O used | O to | O estimate | O the | O evolutionary | O distance | O between | O sequences | O from | O the | O observed | O differences | O between | O the | O sequences | O . | O","In | O particular | O , | O they | O are | O used | O during | O the | O calculation | O of | O likelihood | O of | O a | O tree | O ( | O in | O Bayesian | B-algorithm and | O maximum | B-algorithm likelihood | I-algorithm approaches | O to | O tree | O estimation | O ) | O and | O they | O are | O used | O to | O estimate | O the | O evolutionary | O distance | O between | O sequences | O from | O the | O observed | O differences | O between | O the | O sequences | O . | O",False
"His research in cognitive psychology has won the Early Career Award ( 1984 ) and Boyd McCandless Award 1986 ) from the American Psychological Association , the Troland Research Award ( 1993 ) from the National Academy of Sciences , the Henry Dale Prize ( 2004 ) from the Royal Institution of Great Britain , and the George Miller Prize ( 2010 ) from the Cognitive Neuroscience Society .","['cognitive psychology', 'Early Career Award', 'Boyd McCandless Award', 'American Psychological Association', 'Troland Research Award', 'National Academy of Sciences', 'Henry Dale Prize', 'Royal Institution of Great Britain', 'George Miller Prize', 'Cognitive Neuroscience Society']","['O', 'O', 'O', 'B-field', 'I-field', 'O', 'O', 'O', 'B-misc', 'I-misc', 'I-misc', 'O', 'O', 'O', 'O', 'B-misc', 'I-misc', 'I-misc', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'B-misc', 'I-misc', 'I-misc', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'B-misc', 'I-misc', 'I-misc', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'O', 'B-misc', 'I-misc', 'I-misc', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O']","['O', 'O', 'O', 'B-field', 'I-field', 'O', 'O', 'O', 'B-misc', 'I-misc', 'I-misc', 'O', 'O', 'O', 'O', 'B-misc', 'I-misc', 'I-misc', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'B-misc', 'I-misc', 'I-misc', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'B-misc', 'I-misc', 'I-misc', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'O', 'B-misc', 'I-misc', 'I-misc', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O']","1. His research | False | this is an activity, not an entity
   2. cognitive psychology | True | it is a field related to AI and Computer Science (field)
   3. Early Career Award | True | it is a named entity (misc)
   4. 1984 | False | it is a date
   5. Boyd McCandless Award | True | it is a named entity (misc)
   6. 1986 | False | it is a date
   7. American Psychological Association | True | it is an organisation (organisation)
   8. Troland Research Award | True | it is a named entity (misc)
   9. 1993 | False | it is a date
   10. National Academy of Sciences | True | it is an organisation (organisation)
   11. Henry Dale Prize | True | it is a named entity (misc)
   12. 2004 | False | it is a date
   13. Royal Institution of Great Britain | True | it is an organisation (organisation)
   14. George Miller Prize | True | it is a named entity (misc)
   15. 2010 | False | it is a date
   16. Cognitive Neuroscience Society | True | it is an organisation (organisation)",1.0,"His | O research | O in | O cognitive | B-field psychology | I-field has | O won | O the | O Early | B-misc Career | I-misc Award | I-misc ( | O 1984 | O ) | O and | O Boyd | B-misc McCandless | I-misc Award | I-misc 1986 | O ) | O from | O the | O American | B-organisation Psychological | I-organisation Association | I-organisation , | O the | O Troland | B-misc Research | I-misc Award | I-misc ( | O 1993 | O ) | O from | O the | O National | B-organisation Academy | I-organisation of | I-organisation Sciences | I-organisation , | O the | O Henry | B-misc Dale | I-misc Prize | I-misc ( | O 2004 | O ) | O from | O the | O Royal | B-organisation Institution | I-organisation of | I-organisation Great | I-organisation Britain | I-organisation , | O and | O the | O George | B-misc Miller | I-misc Prize | I-misc ( | O 2010 | O ) | O from | O the | O Cognitive | B-organisation Neuroscience | I-organisation Society | I-organisation . | O","His | O research | O in | O cognitive | B-field psychology | I-field has | O won | O the | O Early | B-misc Career | I-misc Award | I-misc ( | O 1984 | O ) | O and | O Boyd | B-misc McCandless | I-misc Award | I-misc 1986 | O ) | O from | O the | O American | B-organisation Psychological | I-organisation Association | I-organisation , | O the | O Troland | B-misc Research | I-misc Award | I-misc ( | O 1993 | O ) | O from | O the | O National | B-organisation Academy | I-organisation of | I-organisation Sciences | I-organisation , | O the | O Henry | B-misc Dale | I-misc Prize | I-misc ( | O 2004 | O ) | O from | O the | O Royal | B-organisation Institution | I-organisation of | I-organisation Great | I-organisation Britain | I-organisation , | O and | O the | O George | B-misc Miller | I-misc Prize | I-misc ( | O 2010 | O ) | O from | O the | O Cognitive | B-organisation Neuroscience | I-organisation Society | I-organisation . | O",True
"Not only does this alter the performance of all subsequent tests on the retained explanatory model , it may introduce bias and alter mean square error in estimation .",['mean square error'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-metrics', 'I-metrics', 'I-metrics', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. performance | False | This is a concept but is not recognized as an entity in the provided categories.
2. subsequent tests | False | This is a process, not an entity.
3. retained explanatory model | False | Although it seems like a product, it does not belong to any recognized entity categories.
4. bias | True | As a common term in AI research usually referring to bias in data/models which falls under the 'misc' category.
5. mean square error | True | It is a metric in AI, thus categorized as 'metrics'. 
6. estimation | False | This is a concept but not an entity in the defined categories.",0.0,"Not | O only | O does | O this | O alter | O the | O performance | O of | O all | O subsequent | O tests | O on | O the | O retained | O explanatory | O model | O , | O it | O may | O introduce | O bias | O and | O alter | O mean | O square | O error | O in | O estimation | O . | O","Not | O only | O does | O this | O alter | O the | O performance | O of | O all | O subsequent | O tests | O on | O the | O retained | O explanatory | O model | O , | O it | O may | O introduce | O bias | O and | O alter | O mean | B-metrics square | I-metrics error | I-metrics in | O estimation | O . | O",False
"Originally controlled via static html web pages using CGI , work by Dalton saw the introduction of an augmented reality Java -based interface that met with limited success .","['static html', 'CGI', 'Dalton', 'augmented reality', 'Java']","['O', 'O', 'O', 'B-misc', 'I-misc', 'O', 'O', 'O', 'B-misc', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-field', 'I-field', 'B-programlang', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-misc', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-field', 'I-field', 'B-programlang', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. CGI | True | as it is a technology used in computer science (misc)
   2. Dalton | True | as it is assumed to reference a person albeit it is not certain if it is a researcher (person)
   3. augmented reality | True | as it is a field in AI (field)
   4. Java | True | as it is a programming language (programlang)
   5. interface | False | as it is a general term and not a product or specific AI term
   6. success | False | as it is a state descriptor and not an entity.",0.888888888888889,"Originally | O controlled | O via | O static | O html | O web | O pages | O using | O CGI | B-misc , | O work | O by | O Dalton | B-person saw | O the | O introduction | O of | O an | O augmented | B-field reality | I-field Java | B-programlang -based | O interface | O that | O met | O with | O limited | O success | O . | O","Originally | O controlled | O via | O static | B-misc html | I-misc web | O pages | O using | O CGI | B-misc , | O work | O by | O Dalton | B-person saw | O the | O introduction | O of | O an | O augmented | B-field reality | I-field Java | B-programlang -based | O interface | O that | O met | O with | O limited | O success | O . | O",False
"To be specific , the BIBO stability criterion requires that the ROC of the system includes the unit circle .","['BIBO stability criterion', 'ROC']","['O', 'O', 'O', 'O', 'O', 'B-metrics', 'I-metrics', 'I-metrics', 'O', 'O', 'O', 'B-metrics', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-field', 'I-field', 'I-field', 'O', 'O', 'O', 'B-field', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. BIBO stability criterion | True | as it is related to a field of study in engineering (field)
2. ROC | True | as it is commonly used in AI and machine learning (field)
3. system | False | as it is a generic term
4. unit circle | False | as it is a geometric concept not a specifically named entity related to AI or other specified fields.",0.0,"To | O be | O specific | O , | O the | O BIBO | B-field stability | I-field criterion | I-field requires | O that | O the | O ROC | B-field of | O the | O system | O includes | O the | O unit | O circle | O . | O","To | O be | O specific | O , | O the | O BIBO | B-metrics stability | I-metrics criterion | I-metrics requires | O that | O the | O ROC | B-metrics of | O the | O system | O includes | O the | O unit | O circle | O . | O",False
"NIST also differs from BLEU in its calculation of the brevity penalty , insofar as small variations in translation length do not impact the overall score as much .","['NIST', 'BLEU', 'brevity penalty']","['B-metrics', 'O', 'O', 'O', 'B-metrics', 'O', 'O', 'O', 'O', 'O', 'B-misc', 'I-misc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-metrics', 'O', 'O', 'O', 'B-metrics', 'O', 'O', 'O', 'O', 'O', 'B-metrics', 'I-metrics', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. NIST | True | As this is an AI metric (metrics)
2. BLEU | True | As this is also an AI metric (metrics)
3. brevity penalty | True | As it is a sub-component of the BLEU metric, it can be categorized as a metric in AI research (metrics)
4. translation length | False | As this is a characteristic or attribute of a task in AI, but is not a task, field or metric itself.
5. overall score | False | As this is a general term and is not specific to a task in AI.",0.6666666666666666,"NIST | B-metrics also | O differs | O from | O BLEU | B-metrics in | O its | O calculation | O of | O the | O brevity | B-metrics penalty | I-metrics , | O insofar | O as | O small | O variations | O in | O translation | O length | O do | O not | O impact | O the | O overall | O score | O as | O much | O . | O","NIST | B-metrics also | O differs | O from | O BLEU | B-metrics in | O its | O calculation | O of | O the | O brevity | B-misc penalty | I-misc , | O insofar | O as | O small | O variations | O in | O translation | O length | O do | O not | O impact | O the | O overall | O score | O as | O much | O . | O",False
"It is commonly used to generate representations for speech recognition ( ASR ) , e.g. the CMU Sphinx system , and speech synthesis ( TTS ) , e.g. the Festival system .","['speech recognition', 'ASR', 'CMU Sphinx system', 'speech synthesis', 'TTS', 'Festival system']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-task', 'I-task', 'O', 'B-task', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'I-product', 'O', 'O', 'B-task', 'I-task', 'O', 'B-task', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-task', 'I-task', 'O', 'B-task', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'I-product', 'O', 'O', 'B-task', 'I-task', 'O', 'B-task', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O']","1. representations | False | as this is a part of the process not a specific term or item
2. speech recognition | True | as it is a specific task in AI (task)
3. ASR | True | as it is an abbreviation for Automatic Speech Recognition which is a task in AI (task)
4. CMU Sphinx system | True | as it is a product in AI (product)
5. speech synthesis | True | as it is a specific task in AI (task)
6. TTS | True | as it is an abbreviation for Text to Speech which is a task in AI (task)
7. Festival system | True | as it is a product in AI (product)",1.0,"It | O is | O commonly | O used | O to | O generate | O representations | O for | O speech | B-task recognition | I-task ( | O ASR | B-task ) | O , | O e.g. | O the | O CMU | B-product Sphinx | I-product system | I-product , | O and | O speech | B-task synthesis | I-task ( | O TTS | B-task ) | O , | O e.g. | O the | O Festival | B-product system | I-product . | O","It | O is | O commonly | O used | O to | O generate | O representations | O for | O speech | B-task recognition | I-task ( | O ASR | B-task ) | O , | O e.g. | O the | O CMU | B-product Sphinx | I-product system | I-product , | O and | O speech | B-task synthesis | I-task ( | O TTS | B-task ) | O , | O e.g. | O the | O Festival | B-product system | I-product . | O",True
