text,entities,truth,pred,meta,f1,pred_text,truth_text,correct
"However , the components of the NF-kappaB complexes were different in monocytes and B cells , because p50 is part of the NF-kappaB complex induced by CD40 triggering in both monocytes and B cells , whereas p65 was only induced in B cells . In contrast , although the Janus kinase 3 tyrosine kinase was associated with CD40 molecules in both monocytes and resting B cells , Janus kinase 3 phosphorylation induction was observed only in CD40-activated monocytes , with subsequent induction of STAT5a DNA binding activity in the nucleus .","['NF-kappaB complexes', 'monocytes', 'p50', 'NF-kappaB complex', 'CD40', 'monocytes', 'B cells', 'p65', 'B cells', 'Janus kinase 3 tyrosine kinase', 'CD40', 'monocytes', 'resting B cells', 'Janus kinase 3', 'CD40-activated monocytes', 'STAT5a']","['O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'O', 'O', 'O', 'B-cell_type', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'O', 'O', 'B-protein', 'O', 'O', 'O', 'B-cell_type', 'O', 'B-cell_type', 'I-cell_type', 'O', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'B-cell_type', 'I-cell_type', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'I-protein', 'I-protein', 'I-protein', 'O', 'O', 'O', 'B-protein', 'O', 'O', 'O', 'B-cell_type', 'O', 'B-cell_type', 'I-cell_type', 'I-cell_type', 'O', 'B-protein', 'I-protein', 'I-protein', 'O', 'O', 'O', 'O', 'O', 'O', 'B-cell_line', 'I-cell_line', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I-cell_type', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'O', 'O', 'O', 'B-cell_type', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'I-protein', 'I-protein', 'I-protein', 'O', 'O', 'O', 'B-protein', 'I-protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'I-protein', 'I-protein', 'O', 'O', 'O', 'B-cell_type']","1. NF-kappaB complexes | True | they are protein complexes (protein).
2. monocytes | True | this is a type of cell (cell_type).
3. B cells | True | this is a type of cell (cell_type).
4. p50 | True | this is a subunit of NF-kappaB, so it is considered a protein (protein).
5. CD40 | True | this is a co-stimulatory protein, so it is considered a protein (protein).
6. p65 | True | this is another subunit of NF-kappaB, so it is considered a protein (protein).
7. Janus kinase 3 tyrosine kinase | True | It is considered a protein, more specifically a kinase (protein).
8. CD40 molecules | True | CD40 is a protein, so its molecules are considered protein entities (protein).
9. Janus kinase 3 phosphorylation induction | False | This is a process, not a protein, DNA, RNA, Cell Type or Cell Line.
10. STAT5a DNA binding activity | True | STAT5a is a protein, so it is considered a protein even in the context of 'binding activity' (protein).
11. nucleus | False | which is an organelle, not a protein, DNA, RNA, Cell Type or Cell Line.",0.4615384615384615,"However | I-cell_type , | O the | O components | O of | O the | O NF-kappaB | B-protein complexes | I-protein were | O different | O in | O monocytes | B-cell_type and | O B | O cells | O , | O because | O p50 | B-protein is | O part | O of | O the | O NF-kappaB | O complex | O induced | O by | O CD40 | B-protein triggering | O in | O both | O monocytes | O and | O B | O cells | O , | O whereas | O p65 | B-protein was | O only | O induced | O in | O B | O cells | O . | O In | O contrast | O , | O although | O the | O Janus | B-protein kinase | I-protein 3 | I-protein tyrosine | I-protein kinase | I-protein was | O associated | O with | O CD40 | B-protein molecules | I-protein in | O both | O monocytes | O and | O resting | O B | O cells | O , | O Janus | O kinase | O 3 | O phosphorylation | O induction | O was | O observed | O only | O in | O CD40-activated | O monocytes | O , | O with | O subsequent | O induction | O of | O STAT5a | B-protein DNA | I-protein binding | I-protein activity | I-protein in | O the | O nucleus | O . | B-cell_type","However | O , | O the | O components | O of | O the | O NF-kappaB | B-protein complexes | I-protein were | O different | O in | O monocytes | B-cell_type and | O B | O cells | O , | O because | O p50 | B-protein is | O part | O of | O the | O NF-kappaB | B-protein complex | I-protein induced | O by | O CD40 | B-protein triggering | O in | O both | O monocytes | B-cell_type and | O B | B-cell_type cells | I-cell_type , | O whereas | O p65 | B-protein was | O only | O induced | O in | O B | B-cell_type cells | I-cell_type . | O In | O contrast | O , | O although | O the | O Janus | B-protein kinase | I-protein 3 | I-protein tyrosine | I-protein kinase | I-protein was | O associated | O with | O CD40 | B-protein molecules | O in | O both | O monocytes | B-cell_type and | O resting | B-cell_type B | I-cell_type cells | I-cell_type , | O Janus | B-protein kinase | I-protein 3 | I-protein phosphorylation | O induction | O was | O observed | O only | O in | O CD40-activated | B-cell_line monocytes | I-cell_line , | O with | O subsequent | O induction | O of | O STAT5a | B-protein DNA | O binding | O activity | O in | O the | O nucleus | O . | O",False
"In a previous study , we demonstrated that bufalin , which is an active principle of Chinese medicine , chan'su , caused apoptosis in human leukemia U937 cells by anomalous activation of mitogen-activated protein kinase ( MAPK ) via the signaling pathway of Ras , Raf-1 , and MAPK kinase-1 .","['human leukemia U937 cells', 'mitogen-activated protein kinase', 'MAPK', 'Ras', 'Raf-1', 'MAPK kinase-1']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-cell_line', 'I-cell_line', 'I-cell_line', 'I-cell_line', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'I-protein', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O', 'B-protein', 'O', 'O', 'B-protein', 'I-protein', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-cell_line', 'I-cell_line', 'I-cell_line', 'I-cell_line', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'I-protein', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'I-protein', 'I-protein', 'O', 'B-protein', 'O', 'O', 'B-protein', 'I-protein', 'O']","1. bufalin | True | as it is a protein (protein)
2. Chinese medicine | False | as it is a discipline and not a specific protein, DNA, RNA, Cell Type or Cell Line
3. chan'su | False | as it identifies a source of the bufalin protein, but not an entity in this context
4. apoptosis | False | as it is a process
5. human leukemia U937 cells | True | as they are a specific cell line (cell_line)
6. mitogen-activated protein kinase ( MAPK ) | True | as it is a protein (protein)
7. signaling pathway of Ras | True | as Ras is a family of related proteins (protein)
8. Raf-1 | True | as it is a protein (protein)
9. MAPK kinase-1 | True | as it is a protein (protein)",0.6666666666666666,"In | O a | O previous | O study | O , | O we | O demonstrated | O that | O bufalin | B-protein , | O which | O is | O an | O active | O principle | O of | O Chinese | O medicine | O , | O chan'su | O , | O caused | O apoptosis | O in | O human | B-cell_line leukemia | I-cell_line U937 | I-cell_line cells | I-cell_line by | O anomalous | O activation | O of | O mitogen-activated | B-protein protein | I-protein kinase | I-protein ( | O MAPK | O ) | O via | O the | O signaling | B-protein pathway | I-protein of | I-protein Ras | I-protein , | O Raf-1 | B-protein , | O and | O MAPK | B-protein kinase-1 | I-protein . | O","In | O a | O previous | O study | O , | O we | O demonstrated | O that | O bufalin | O , | O which | O is | O an | O active | O principle | O of | O Chinese | O medicine | O , | O chan'su | O , | O caused | O apoptosis | O in | O human | B-cell_line leukemia | I-cell_line U937 | I-cell_line cells | I-cell_line by | O anomalous | O activation | O of | O mitogen-activated | B-protein protein | I-protein kinase | I-protein ( | O MAPK | B-protein ) | O via | O the | O signaling | O pathway | O of | O Ras | B-protein , | O Raf-1 | B-protein , | O and | O MAPK | B-protein kinase-1 | I-protein . | O",False
"Three mutants ( -201/-184 NXS , -165/-148 NXS , and -147/-130 NXS ) had effects on viral replication that were much more severe than the effects predicted from their performance in transfection analyses , and the effects of two LS mutations ( -201/-184 NXS and -183/-166 NXS ) were not predicted by their effects in transfection .",[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-protein/DNA/RNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DNA', 'I-DNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. Mutants (-201/-184 NXS, -165/-148 NXS, and -147/-130 NXS) | True | as they represent modified versions of a protein, DNA, or RNA (protein/DNA/RNA).
2. Viral Replication | False | as it represents a biological process, not a protein, DNA, RNA, Cell Type, or Cell Line.
3. LS mutations (-201/-184 NXS and -183/-166 NXS) | True | as mutations refer to changes in the DNA sequence (DNA).
4. Transfection | False | as it refers to a method or process, not a protein, DNA, RNA, Cell Type or Cell Line.",0.0,"Three | O mutants | B-protein/DNA/RNA ( | O -201/-184 | O NXS | O , | O -165/-148 | O NXS | O , | O and | O -147/-130 | O NXS | O ) | O had | O effects | O on | O viral | O replication | O that | O were | O much | O more | O severe | O than | O the | O effects | O predicted | O from | O their | O performance | O in | O transfection | O analyses | O , | O and | O the | O effects | O of | O two | O LS | B-DNA mutations | I-DNA ( | O -201/-184 | O NXS | O and | O -183/-166 | O NXS | O ) | O were | O not | O predicted | O by | O their | O effects | O in | O transfection | O . | O","Three | O mutants | O ( | O -201/-184 | O NXS | O , | O -165/-148 | O NXS | O , | O and | O -147/-130 | O NXS | O ) | O had | O effects | O on | O viral | O replication | O that | O were | O much | O more | O severe | O than | O the | O effects | O predicted | O from | O their | O performance | O in | O transfection | O analyses | O , | O and | O the | O effects | O of | O two | O LS | O mutations | O ( | O -201/-184 | O NXS | O and | O -183/-166 | O NXS | O ) | O were | O not | O predicted | O by | O their | O effects | O in | O transfection | O . | O",False
"Proinflammatory neutrophil stimuli also promoted the accumulation of IkappaB-alpha mRNA transcripts , resulting in the reexpression of the IkappaB-alpha protein .","['Proinflammatory neutrophil', 'IkappaB-alpha mRNA transcripts', 'IkappaB-alpha protein']","['B-cell_type', 'I-cell_type', 'O', 'O', 'O', 'O', 'O', 'O', 'B-RNA', 'I-RNA', 'I-RNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-RNA', 'I-RNA', 'I-RNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'O']","1. Proinflammatory neutrophil stimuli | False | as it is a process
2. IkappaB-alpha mRNA transcripts | True | as it is a type of RNA (RNA)
3. IkappaB-alpha protein | True | as it is a type of protein (protein)",0.8,"Proinflammatory | O neutrophil | O stimuli | O also | O promoted | O the | O accumulation | O of | O IkappaB-alpha | B-RNA mRNA | I-RNA transcripts | I-RNA , | O resulting | O in | O the | O reexpression | O of | O the | O IkappaB-alpha | B-protein protein | I-protein . | O","Proinflammatory | B-cell_type neutrophil | I-cell_type stimuli | O also | O promoted | O the | O accumulation | O of | O IkappaB-alpha | B-RNA mRNA | I-RNA transcripts | I-RNA , | O resulting | O in | O the | O reexpression | O of | O the | O IkappaB-alpha | B-protein protein | I-protein . | O",False
These data provide the evidence that activation of human peripheral blood T cells through the AIM activation pathway regulate the activity of AP-1 .,"['human peripheral blood T cells', 'AP-1']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-cell_type', 'I-cell_type', 'I-cell_type', 'I-cell_type', 'I-cell_type', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-cell_type', 'I-cell_type', 'I-cell_type', 'I-cell_type', 'I-cell_type', 'O', 'O', 'B-protein', 'I-protein', 'I-protein', 'O', 'O', 'O', 'O', 'B-protein', 'O']","1. data | False | as it is an abstract concept
        2. human peripheral blood T cells | True | as they are specified cell type (cell_type)
        3. AIM activation pathway | True | as it is a protein (protein)
        4. AP-1 (Activator Protein 1) | True | as it is a protein (protein)
        5. activity | False | as it is a process
        6. evidence | False | as it is an abstract concept
        7. Activation | False | as it is a process
",0.8,These | O data | O provide | O the | O evidence | O that | O activation | O of | O human | B-cell_type peripheral | I-cell_type blood | I-cell_type T | I-cell_type cells | I-cell_type through | O the | O AIM | B-protein activation | I-protein pathway | I-protein regulate | O the | O activity | O of | O AP-1 | B-protein . | O,These | O data | O provide | O the | O evidence | O that | O activation | O of | O human | B-cell_type peripheral | I-cell_type blood | I-cell_type T | I-cell_type cells | I-cell_type through | O the | O AIM | O activation | O pathway | O regulate | O the | O activity | O of | O AP-1 | B-protein . | O,False
The cascade of events within the first few minutes of T cell stimulation has been well characterized .,['T cell'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-cell_type', 'I-cell_type', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-cell_type', 'I-cell_type', 'O', 'O', 'O', 'O', 'O', 'O']","1. cascade of events | False | as it is a process 
2. T cell stimulation | False | as it is not a protein, DNA, RNA, Cell Type or Cell Line but rather a process.
3. T cell | True | as T cells are a type of cell (cell_type)",1.0,The | O cascade | O of | O events | O within | O the | O first | O few | O minutes | O of | O T | B-cell_type cell | I-cell_type stimulation | O has | O been | O well | O characterized | O . | O,The | O cascade | O of | O events | O within | O the | O first | O few | O minutes | O of | O T | B-cell_type cell | I-cell_type stimulation | O has | O been | O well | O characterized | O . | O,True
A novel HIV-1 isolate containing alterations affecting the NF-kappa B element .,['NF-kappa B element'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DNA', 'I-DNA', 'I-DNA', 'O']","['O', 'O', 'B-cell_line', 'I-cell_line', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'I-protein', 'O']","1. HIV-1 isolate | True | as it is a kind of cell line (cell_line)
2. alterations | False | as it is a process
3. NF-kappa B element | True | as it is the protein protein-NF-kappa B, in its function as a DNA-binding element (protein).",0.0,A | O novel | O HIV-1 | B-cell_line isolate | I-cell_line containing | O alterations | O affecting | O the | O NF-kappa | B-protein B | I-protein element | I-protein . | O,A | O novel | O HIV-1 | O isolate | O containing | O alterations | O affecting | O the | O NF-kappa | B-DNA B | I-DNA element | I-DNA . | O,False
"Upon TPA treatment , the activity of ERK1 and ERK2 rapidly increased , with maximal induction between 1 and 3 h , while ERK2 protein levels remained constant .","['ERK1', 'ERK2', 'ERK2']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. TPA treatment | False | as it is a process or procedure, not a protein, DNA, RNA, Cell Type, or Cell Line
2. activity of ERK1 and ERK2 | False | as it is about the functioning or action of certain proteins, not the proteins themselves
3. ERK1 | True | as it is a protein (protein)
4. ERK2 | True | as it is a protein (protein)
5. ERK2 protein levels | False | as it represents a quantity or measurement, not a protein, DNA, RNA, Cell Type, or Cell Line.",0.8,"Upon | O TPA | O treatment | O , | O the | O activity | O of | O ERK1 | B-protein and | O ERK2 | B-protein rapidly | O increased | O , | O with | O maximal | O induction | O between | O 1 | O and | O 3 | O h | O , | O while | O ERK2 | O protein | O levels | O remained | O constant | O . | O","Upon | O TPA | O treatment | O , | O the | O activity | O of | O ERK1 | B-protein and | O ERK2 | B-protein rapidly | O increased | O , | O with | O maximal | O induction | O between | O 1 | O and | O 3 | O h | O , | O while | O ERK2 | B-protein protein | O levels | O remained | O constant | O . | O",False
Two of these motifs are part of a highly conserved and inducible dyad symmetry element shown previously to control a remote IL-2 enhancer and the CD18 promoter .,"['dyad symmetry element', 'IL-2 enhancer', 'CD18 promoter']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DNA', 'I-DNA', 'I-DNA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DNA', 'I-DNA', 'O', 'O', 'B-DNA', 'I-DNA', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DNA', 'I-DNA', 'I-DNA', 'I-DNA', 'I-DNA', 'I-DNA', 'I-DNA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DNA', 'I-DNA', 'O', 'O', 'B-DNA', 'I-DNA', 'O']","1. motifs | False | as they refer generally to a common theme or pattern (in this case in DNA or RNA sequence), but are not specifically protein, DNA, RNA, cell type, or cell line 
2. highly conserved and inducible dyad symmetry element | True | as it refers to a specific structure within DNA (DNA)
3. IL-2 enhancer | True | as it refers to a region of DNA that can bind proteins to enhance transcription level of a gene (DNA)
4. CD18 promoter | True | as it refers to a region of DNA that initiates transcription of a particular gene (DNA)",0.6666666666666666,Two | O of | O these | O motifs | O are | O part | O of | O a | O highly | B-DNA conserved | I-DNA and | I-DNA inducible | I-DNA dyad | I-DNA symmetry | I-DNA element | I-DNA shown | O previously | O to | O control | O a | O remote | O IL-2 | B-DNA enhancer | I-DNA and | O the | O CD18 | B-DNA promoter | I-DNA . | O,Two | O of | O these | O motifs | O are | O part | O of | O a | O highly | O conserved | O and | O inducible | O dyad | B-DNA symmetry | I-DNA element | I-DNA shown | O previously | O to | O control | O a | O remote | O IL-2 | B-DNA enhancer | I-DNA and | O the | O CD18 | B-DNA promoter | I-DNA . | O,False
"MATERIAL AND METHODS : In the present study , we analyzed the effects of CyA , aspirin , and indomethacin on T cell proliferation using a proliferation assay .",[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'O', 'O', 'O', 'O', 'O', 'O', 'B-cell_type', 'I-cell_type', 'O', 'O', 'O', 'O', 'O', 'O']","1. CyA | True | it is short form for Cyclosporin A which is a drug that interacts with proteins (protein)
2. Aspirin | False | it is a drug, not a protein, DNA, RNA, Cell Type or Cell Line
3. Indomethacin | False | it is a drug, not a protein, DNA, RNA, Cell Type or Cell Line
4. T cell | True | they are a type of cell (cell_type)
5. Proliferation assay | False | it is a process or a method, not a protein, DNA, RNA, Cell Type or Cell Line",0.0,"MATERIAL | O AND | O METHODS | O : | O In | O the | O present | O study | O , | O we | O analyzed | O the | O effects | O of | O CyA | B-protein , | O aspirin | O , | O and | O indomethacin | O on | O T | B-cell_type cell | I-cell_type proliferation | O using | O a | O proliferation | O assay | O . | O","MATERIAL | O AND | O METHODS | O : | O In | O the | O present | O study | O , | O we | O analyzed | O the | O effects | O of | O CyA | O , | O aspirin | O , | O and | O indomethacin | O on | O T | O cell | O proliferation | O using | O a | O proliferation | O assay | O . | O",False
