,idx,para,entities,preds,meta,f1
0,193,"Of the other seven songs that were on the British release , two were released on the US version of the next Beatles album , Rubber Soul , two were back-to-back on the next US single and then appeared on Yesterday and Today , and three had already been on Beatles VI .","['British', 'US', 'Beatles', 'Rubber Soul', 'US', 'Yesterday and Today', 'Beatles VI']","['beatles', 'yesterday and today', 'beatles vi', 'rubber soul']","1. British release | False | as it is referring to the release type and not an entity
2. US version | False | as it is referring to the release type and not an entity
3. Beatles | True | as it is a band
4. Rubber Soul | True | as it is an album
5. Yesterday and Today | True | as it is an album
6. Beatles VI | True | as it is an album",0.8
1,139,"For the majority of its existence , the group was composed of Mike D ( vocals , drums ) , Adam Yauch ( vocals , bass ) and Ad-Rock ( vocals , guitar , programming ) .","['Mike D', 'drums', 'Adam Yauch', 'bass', 'Ad-Rock', 'guitar', 'programming']","['mike d', 'ad-rock', 'adam yauch']","1. Mike D | True | as it is a person (artist)
2. Adam Yauch | True | as it is a person (artist)
3. Ad-Rock | True | as it is a person (artist)
4. vocals | False | as it is an activity, not an entity
5. drums | False | as it is an action performed on a musical instrument
6. bass | False | as it is an activity or instrument played, not an entity
7. guitar | False | as it is an activity or instrument played, not an entity
8. programming | False | as it is a task or activity, not an entity",0.6
2,52,"Originally based in West Germany , the four original members of the group 's official line-up were Liz Mitchell and Marcia Barrett from Jamaica , Maizie Williams from Montserrat and Bobby Farrell , a performing artist from Aruba .","['West Germany', 'Liz Mitchell', 'Marcia Barrett', 'Jamaica', 'Maizie Williams', 'Montserrat', 'Bobby Farrell', 'Aruba']","['montserrat', 'bobby farrell', 'jamaica', 'west germany', 'maizie williams', 'marcia barrett', 'aruba', 'liz mitchell']","1. West Germany | True | as it is a location
   2. Liz Mitchell | True | as it is a person
   3. Marcia Barrett | True | as it is a person
   4. Jamaica | True | as it is a country
   5. Maizie Williams | True | as it is a person
   6. Montserrat | True | as it is a location
   7. Bobby Farrell | True | as it is a person
   8. Aruba | True | as it is a country",1.0
3,121,"The venue was the site of several Commonwealth Games sports in 1978 Commonwealth Games , and part of Universiade ( the World University Games ) in 1983 .","['Commonwealth Games sports', '1978 Commonwealth Games', 'Universiade', 'World University Games']","['commonwealth games', 'universiade', '1978 commonwealth games']","1. Commonwealth Games | True | as it is an event
    2. 1978 Commonwealth Games | True | as it is a specific event edition
    3. Universiade | True | as it is an event (World University Games)
    4. 1983 | False | as it is a date",0.5714285714285714
4,298,"Mostly well received by critics , and with a special mention to Elfman 's gothic score , the film won an Academy Awards for Academy Award for Best Production Design , as well as two British Academy of Film and Television Arts s for Best Costume Design and Best Production Design .","['Elfman', 'Academy Awards', 'Academy Award for Best Production Design', 'British Academy of Film and Television Arts s for Best Costume Design and Best Production Design']","['elfman', 'british academy of film and television arts', 'best costume design', 'academy award for best production design', 'best production design', 'academy awards']","1. Elfman | True | as it is a person (an artist)
    2. gothic score | False | as it is a description of music
    3. Academy Awards | True | as it is an award
    4. Academy Award for Best Production Design | True | as it is an award
    5. British Academy of Film and Television Arts | True | as it is an organization
    6. Best Costume Design | True | as it is an award
    7. Best Production Design | True | as it is an award",0.6
5,232,"Examples of this include Michael Jackson from The Jackson 5 , Donny Osmond from The Osmonds , Ricky Martin from Menudo , Justin Timberlake from * NSYNC , and Ronan Keating from Boyzone .","['Michael Jackson', 'The Jackson 5', 'Donny Osmond', 'The Osmonds', 'Ricky Martin', 'Menudo', 'Justin Timberlake', 'NSYNC', 'Ronan Keating', 'Boyzone']","['ronan keating', 'ricky martin', 'michael jackson', 'menudo', 'the jackson 5', 'the osmonds', 'justin timberlake', 'donny osmond', 'boyzone', 'nsync']","1. Michael Jackson | True | as he is an artist
2. The Jackson 5 | True | as it is a band
3. Donny Osmond | True | as he is an artist
4. The Osmonds | True | as it is a band
5. Ricky Martin | True | as he is an artist
6. Menudo | True | as it is a band
7. Justin Timberlake | True | as he is an artist
8. *NSYNC | True | as it is a band
9. Ronan Keating | True | as he is an artist
10. Boyzone | True | as it is a band",1.0
6,276,"During this period he designed album sleeves and additional material for such acts as the Sutherland Brothers , Kevin Coyne , Edgar Broughton Band , Chilli Willi and the Red Hot Peppers , Quiver , the Kursaal Flyers and Michael Moorcock and the Deep Fix .","['Sutherland Brothers', 'Kevin Coyne', 'Edgar Broughton Band', 'Chilli Willi and the Red Hot Peppers', 'Quiver', 'the Kursaal Flyers', 'Michael Moorcock and the Deep Fix']","['sutherland brothers', 'chilli willi and the red hot peppers', 'edgar broughton band', 'deep fix', 'quiver', 'michael moorcock', 'kevin coyne', 'kursaal flyers']","1. Sutherland Brothers | True | as it is a band
    2. Kevin Coyne | True | as it is an artist
    3. Edgar Broughton Band | True | as it is a band
    4. Chilli Willi and the Red Hot Peppers | True | as it is a band
    5. Quiver | True | as it is a band
    6. Kursaal Flyers | True | as it is a band
    7. Michael Moorcock | True | as it is a person
    8. Deep Fix | True | as it is a band",0.6666666666666666
