text,entities,truth,pred,meta,f1,pred_text,truth_text,correct
"The number of operations on men increased even more -- by 80 percent , from 8,000 in 1994 to 15,000 in 1995 , he said .",[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. The number of operations | False | as it is not a named entity
    2. men | False | it only mentions a generic term 'men' which is not a specific person, organization, or location
    3. 80 percent | False | as it is an amount, not a named entity
    4. 8,000 | False | as it is a number
    5. 1994 | False | as it is a date
    6. 15,000 | False | as it is a number
    7. 1995 | False | as it is a date
    8. he | False | as it is a pronoun and no specific person is named",0.0,"The | O number | O of | O operations | O on | O men | O increased | O even | O more | O -- | O by | O 80 | O percent | O , | O from | O 8,000 | O in | O 1994 | O to | O 15,000 | O in | O 1995 | O , | O he | O said | O . | O","The | O number | O of | O operations | O on | O men | O increased | O even | O more | O -- | O by | O 80 | O percent | O , | O from | O 8,000 | O in | O 1994 | O to | O 15,000 | O in | O 1995 | O , | O he | O said | O . | O",True
"Poland said on Friday that Swiss bank accounts , which in many cases belonged to Polish Jews who died in the Holocaust , were used in debt settlements between the two countries after the World War Two .","['Poland', 'Swiss', 'Polish', 'Jews', 'Holocaust', 'World War Two']","['B-LOC', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'B-MISC', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O']","['B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O']","1. Poland (True) | Poland is a country, therefore it is a location (LOC).
2. Friday (False) | Friday represents a day of the week, not a specific date or named entity.
3. Swiss bank (True) | Swiss bank is a named organization (ORG).
4. Polish Jews (True) | Jew is a term for people of the Jewish ethnicity or religion. Therefore, Polish Jews, people of Jewish religion or ethnicity from Poland is an ethnic/national group (MISC).
5. Holocaust (False) | Holocaust is an event, not a person, organization or location.
6. debt settlements (False) | Debt settlements is a process or event, not a specific named entity.
7. two countries (False) | 'two countries' is a general term, the actual names of the countries would have been entities.
8. World War Two (True) | World War Two is a specific event, though not a traditional entity, it can be considered a named event (MISC).",0.4,"Poland | B-LOC said | O on | O Friday | O that | O Swiss | B-ORG bank | I-ORG accounts | O , | O which | O in | O many | O cases | O belonged | O to | O Polish | B-MISC Jews | I-MISC who | O died | O in | O the | O Holocaust | O , | O were | O used | O in | O debt | O settlements | O between | O the | O two | O countries | O after | O the | O World | B-MISC War | I-MISC Two | I-MISC . | O","Poland | B-LOC said | O on | O Friday | O that | O Swiss | B-MISC bank | O accounts | O , | O which | O in | O many | O cases | O belonged | O to | O Polish | B-MISC Jews | B-MISC who | O died | O in | O the | O Holocaust | B-MISC , | O were | O used | O in | O debt | O settlements | O between | O the | O two | O countries | O after | O the | O World | B-MISC War | I-MISC Two | I-MISC . | O",False
Anke Baler ( Germany ) 41.76 .,"['Anke Baler', 'Germany']","['B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O']","1. Anke Baler | True | as it is the name of a person (PER).
    2. Germany | True | as it is the country (LOC) from where Anke Baler is.
    3. 41.76 | False | as it is just a number, which is not an entity.",1.0,Anke | B-PER Baler | I-PER ( | O Germany | B-LOC ) | O 41.76 | O . | O,Anke | B-PER Baler | I-PER ( | O Germany | B-LOC ) | O 41.76 | O . | O,True
Kanchelskis 28 ) .,['Kanchelskis'],"['B-PER', 'O', 'O', 'O']","['B-PER', 'O', 'O', 'O']","1. Kanchelskis | True | Is a surname likely referring to a named person, Andrei Kanchelskis who is a personality in the world of football (PER).
    2. 28 | False | as it is a number and has no identifiable stand-alone meaning in this context.",1.0,Kanchelskis | B-PER 28 | O ) | O . | O,Kanchelskis | B-PER 28 | O ) | O . | O,True
Only bonds freely available to institutional investors and with a certain minimum amount outstanding are included .,[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. bonds | False | as it is not a named person, organization or location
    2. institutional investors | False | as it is a general term
    3. minimum amount outstanding | False | as it is a financial term, not a specific, tangible entity.",0.0,Only | O bonds | O freely | O available | O to | O institutional | O investors | O and | O with | O a | O certain | O minimum | O amount | O outstanding | O are | O included | O . | O,Only | O bonds | O freely | O available | O to | O institutional | O investors | O and | O with | O a | O certain | O minimum | O amount | O outstanding | O are | O included | O . | O,True
Teams :,[],"['O', 'O']","['O', 'O']","Teams | False | It's a common noun, not a proper noun and does not specifically relate to a person, organization or location.",0.0,Teams | O : | O,Teams | O : | O,True
"British Airways 's initial response was that "" unconditional divestiture of slots is unprecedented and if done it must be on the basis of fair market value . """,['British Airways'],"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. British Airways | True | as it is a named organization (ORG)
    2. initial response | False | as it is an event, not a named person, organization, or location
    3. unconditional divestiture of slots | False | as it is an event or action, not a named person, organization, or location
    4. unprecedented | False | as it is a description, not a named person, organization, or location
    5. fair market value | False | as it is economical concept, not a named person, organization, or location.",1.0,"British | B-ORG Airways | I-ORG 's | O initial | O response | O was | O that | O "" | O unconditional | O divestiture | O of | O slots | O is | O unprecedented | O and | O if | O done | O it | O must | O be | O on | O the | O basis | O of | O fair | O market | O value | O . | O "" | O","British | B-ORG Airways | I-ORG 's | O initial | O response | O was | O that | O "" | O unconditional | O divestiture | O of | O slots | O is | O unprecedented | O and | O if | O done | O it | O must | O be | O on | O the | O basis | O of | O fair | O market | O value | O . | O "" | O",True
Net 6.20 5.36,[],"['O', 'O', 'O']","['O', 'O', 'O']","1. Net | False | as it is a term, not a named person, organization or location
2. 6.20 | False | as it is a number
3. 5.36 | False | as it is a number",0.0,Net | O 6.20 | O 5.36 | O,Net | O 6.20 | O 5.36 | O,True
Sep 97 69.18 69.24 65.17 66.61-71.34,[],"['O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O']","1. Sep 97 | False | as it is a month and year, not a person, organization, or location 
    2. 69.18, 69.24, 65.17, 66.61-71.34 | False | as they are numbers, not entities",0.0,Sep | O 97 | O 69.18 | O 69.24 | O 65.17 | O 66.61-71.34 | O,Sep | O 97 | O 69.18 | O 69.24 | O 65.17 | O 66.61-71.34 | O,True
CLEVELAND 11 6 .647 5 1/2,['CLEVELAND'],"['B-ORG', 'O', 'O', 'O', 'O', 'O']","['B-ORG', 'O', 'O', 'O', 'O', 'O']","1. CLEVELAND | True | As it refers to a baseball team based in Cleveland, it is an organization (ORG)
   2. 11 | False | as it is a number
   3. 6 | False | as it is a number
   4. .647 | False | as it is a number
   5. 5 1/2 | False | as it is a number",1.0,CLEVELAND | B-ORG 11 | O 6 | O .647 | O 5 | O 1/2 | O,CLEVELAND | B-ORG 11 | O 6 | O .647 | O 5 | O 1/2 | O,True
