,idx,para,entities,preds,meta,f1
0,941,The judge died later in hospital .,[],"['hospital', 'judge']","
1. The judge | True | as it is the name of a person
2. died | False | as it is an action
3. later | False | as it is an adverb
4. hospital | True | as it is the name of a place or location.",0.0
1,110,"Panamanian boxing legend Roberto "" Hands of Stone "" Duran climbs into the ring on Saturday in another age-defying attempt to sustain his long career .","['Panamanian', 'Roberto', '""', 'Hands', 'of', 'Stone', '""', 'Duran']","['roberto', 'duran', 'panamanian']","
1. Panamanian | True | as it is a nationality
2. boxing | False | as it is an action
3. Roberto | True | as it is the name of a person
4. Hands of Stone | False | as it is an adjective phrase
5. Duran | True | as it is the name of a person 
6. ring | False | as it is a noun representing a physical space or place
7. Saturday | False | as it is a day of the week, with no distinct and independant existence
8. age-defying | False | as it is an adjective phrase
9. career | False | as it is an abstract concept.",0.6
2,720,"The December calendar spread continued to widen , also reflecting the market 's fear of rising inflation .",[],"['market', 'december']","
1. December | True | as it is a month 
2. calendar spread | False | as it is an abstract concept or activity
3. widen | False | as it is an action
4. market | True | as it is an entity describing a group of investors or participants in an activity
5. fear | False | as it is an abstract concept or emotion
6. rising | False | as it is an action
7. inflation | False | as it is an abstract concept or activity",0.0
3,3056,"Representatives of the five nations making up the committee -- Israel , Lebanon , Syria , France and the United States -- will meet at 11 a.m. ( 0800 GMT ) in Naqoura , the coastal headquarters of the U.N. Interim Force in Lebanon ( UNIFIL ) .","['Israel', 'Lebanon', 'Syria', 'France', 'United', 'States', 'GMT', 'Naqoura', 'U.N.', 'Interim', 'Force', 'in', 'Lebanon', 'UNIFIL']","['france', 'syria', 'united', 'states', 'israel', 'naqoura', 'unifil', 'lebanon']","
1. Five nations | False | as it is an abstract concept. 
2. Israel | True | as it is the name of a place or location 
3. Lebanon | True | as it is the name of a place or location
4. Syria | True | as it is the name of a place or location 
5. France | True | as it is the name of a place or location
6. United States | True | as it is the name of a place or location 
7. 11 a.m. | False | as it represents a time of day, with no distinct and independant existence
8. 0800 GMT | False | as it represents a time of day, with no distinct and independant existence
9. Naqoura | True | as it is the name of a place or location 
10. U.N. Interim Force in Lebanon | False | as it is an abstract concept 
11. UNIFIL | True | as it is the name of a organization or title.",0.7619047619047619
4,670,"The government of Canada 's cash balances fell in the week that ended August 28 , the Bank of Canada said on Friday .","['Canada', 'Bank', 'of', 'Canada']","['bank', 'government', 'canada']","
1. The government of Canada | True | as it is the name of an organization
2. cash balances | False | as it is an abstract concept
3. week | False | as it denotes a period of time
4. August 28 | False | as it is a date and not an entity
5. Bank of Canada | True | as it the name of an organization
6. Friday | False | as it denotes a day of the week",0.6666666666666666
5,418,6. Steve Brown ( U.S. ) 13.53,"['Steve', 'Brown', 'U.S.']","['brown', 'steve', 'u.s']","
1. Steve Brown | True | as it is the name of a person
2. U.S. | True | as it is the abbreviation for a place or location
3. 13.53 | False | as it is a number and is not an entity.",0.6666666666666666
6,1407,"But more money went into savings accounts , as savings held at 5.3 cents out of each dollar earned in both June and July .",[],"['accounts', 'savings']"," 
1. Savings Accounts | True | as it is a type of financial account
2. Savings | False | as it is an action
3. 5.3 cents | False | as it is a number
4. June | False | as it is a month which is not an entity
5. July | False | as it is a month which is not an entity
6. Dollar | False | as it is a unit of currency which is not an entity",0.0
7,1635,"Arafat , who made an interim peace deal with Israel in 1993 that set up self-rule , says he will only visit Jerusalem once Israeli occupation has ended .","['Arafat', 'Israel', 'Jerusalem', 'Israeli']","['israel', 'jerusalem', 'arafat']","
1. Arafat | True | as it is the name of a person
2. Israel | True | as it is the name of a place or location
3. 1993 | False | as it is a number
4. self-rule | False| as it is an abstract concept
5. Jerusalem | True | as it is the name of a place or location
6. Israeli occupation | False | as it is an action and not an entity",0.8571428571428571
8,1668,"ESCHEN , Liechtenstein 1996-08-31","['ESCHEN', 'Liechtenstein']","['liechtenstein', 'esc', 'hen']","
1. ESC HEN | True | as it is the name of a place or location
2. Liechtenstein | True | as it is the name of a place or location
3. 1996-08-31 | False | as it is a date which is not an entity.",0.4
9,1613,"Bootleg brew kills 35 in China , police nab suspects .",['China'],[],"
  1. Bootleg brew | False | as it is an abstract concept that is not an entity.
  2. 35 | False | as it is a number and not an entity.
  3. China | true | as it is the name of a place or location.
  4. police | False | as it is an abstract concept that is not an entity.
  5. nab | False | as it is an action rather than an entity.
  6. suspects | False | as it is an abstract concept that is not an entity.",0.0
