text,entities,truth,pred,meta,f1,pred_text,truth_text,correct
"Adam confirmed through a press conference that the film would co-star David Alan Grier , Illeana Douglas , Diane Farr , and Larry Miller .","['Adam', 'David Alan Grier', 'Illeana Douglas', 'Diane Farr', 'Larry Miller']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'B-person', 'I-person', 'O', 'B-person', 'I-person', 'O', 'O', 'B-person', 'I-person', 'O']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'B-person', 'I-person', 'O', 'B-person', 'I-person', 'O', 'O', 'B-person', 'I-person', 'O']","1. Adam | True | it refers to a person (person), yet it's unclear without more context, if it's a normal person (person) or named character (person).
    2. press conference | False | it is an event, but without specific name or title ( event)
    3. Film | False | it refers to a work of media, not a specific entity
    4. David Alan Grier | True | as it is the name of a person (person)
    5. Illeana Douglas | True | as it is the name of a person (person)
    6. Diane Farr | True | as it is the name of a person (person)
    7. Larry Miller | True | as it is the name of a person (person)",1.0,"Adam | B-person confirmed | O through | O a | O press | O conference | O that | O the | O film | O would | O co-star | O David | B-person Alan | I-person Grier | I-person , | O Illeana | B-person Douglas | I-person , | O Diane | B-person Farr | I-person , | O and | O Larry | B-person Miller | I-person . | O","Adam | B-person confirmed | O through | O a | O press | O conference | O that | O the | O film | O would | O co-star | O David | B-person Alan | I-person Grier | I-person , | O Illeana | B-person Douglas | I-person , | O Diane | B-person Farr | I-person , | O and | O Larry | B-person Miller | I-person . | O",True
"He then worked on a number of foreign campaigns , including those of Tony Blair - then Prime Minister of the United Kingdom - during the 2001 United Kingdom general election ; Ehud Barak of Israel ' s Israeli Labor Party ( at the suggestion of Clinton , who had grown frustrated with Benjamin Netanyahu ' s intransigence in the peace process ) in the 1999 Knesset election ; and with the Liberal Party of Canada .","['Tony Blair', 'United Kingdom', '2001 United Kingdom general election', 'Ehud Barak', 'Israel', 'Israeli Labor Party', 'Clinton', 'Benjamin Netanyahu', '1999 Knesset election', 'Liberal Party of Canada']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-politician', 'I-politician', 'O', 'O', 'O', 'O', 'O', 'O', 'B-country', 'I-country', 'O', 'O', 'O', 'B-election', 'I-election', 'I-election', 'I-election', 'I-election', 'O', 'B-politician', 'I-politician', 'O', 'B-country', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'O', 'O', 'O', 'B-politician', 'O', 'O', 'O', 'O', 'O', 'O', 'B-politician', 'I-politician', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-election', 'I-election', 'I-election', 'O', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O']","['I-country', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-election', 'I-election', 'I-election', 'I-election', 'I-election', 'O', 'B-person', 'I-person', 'O', 'B-country', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-election', 'I-election', 'I-election', 'O', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'B-country']","1. Tony Blair | True | as it is a person (person)
2. Prime Minister | False | as it is a title not a specific entity
3. United Kingdom | True | as it is a country (country)
4. 2001 United Kingdom general election | True | as it is an election (election)
5. Ehud Barak | True | as it is a person (person)
6. Israel | True | as it is a country (country)
7. Israeli Labor Party | True | as it is a political party (politicalparty)
8. Clinton | True | as it is a person (person)
9. Benjamin Netanyahu | True | as it is a person (person)
10. peace process | False | as it is an abstract concept
11. 1999 Knesset election | True | as it is an election (election)
12. Liberal Party of Canada | True | as it is a political party (politicalparty)",0.4761904761904761,"He | I-country then | O worked | O on | O a | O number | O of | O foreign | O campaigns | O , | O including | O those | O of | O Tony | B-person Blair | I-person - | O then | O Prime | O Minister | O of | O the | O United | O Kingdom | O - | O during | O the | O 2001 | B-election United | I-election Kingdom | I-election general | I-election election | I-election ; | O Ehud | B-person Barak | I-person of | O Israel | B-country ' | O s | O Israeli | B-politicalparty Labor | I-politicalparty Party | I-politicalparty ( | O at | O the | O suggestion | O of | O Clinton | B-person , | O who | O had | O grown | O frustrated | O with | O Benjamin | B-person Netanyahu | I-person ' | O s | O intransigence | O in | O the | O peace | O process | O ) | O in | O the | O 1999 | B-election Knesset | I-election election | I-election ; | O and | O with | O the | O Liberal | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty . | B-country","He | O then | O worked | O on | O a | O number | O of | O foreign | O campaigns | O , | O including | O those | O of | O Tony | B-politician Blair | I-politician - | O then | O Prime | O Minister | O of | O the | O United | B-country Kingdom | I-country - | O during | O the | O 2001 | B-election United | I-election Kingdom | I-election general | I-election election | I-election ; | O Ehud | B-politician Barak | I-politician of | O Israel | B-country ' | O s | O Israeli | B-politicalparty Labor | I-politicalparty Party | I-politicalparty ( | O at | O the | O suggestion | O of | O Clinton | B-politician , | O who | O had | O grown | O frustrated | O with | O Benjamin | B-politician Netanyahu | I-politician ' | O s | O intransigence | O in | O the | O peace | O process | O ) | O in | O the | O 1999 | B-election Knesset | I-election election | I-election ; | O and | O with | O the | O Liberal | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty . | O",False
"Incumbent John Melcher , who was first elected to the Senate in 1976 United States Senate election in Montana and was re-elected in 1982 United States Senate election in Montana , ran for re-election .","['John Melcher', 'Senate', '1976 United States Senate election in Montana', '1982 United States Senate election in Montana']","['O', 'B-politician', 'I-politician', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'O', 'B-election', 'I-election', 'I-election', 'I-election', 'I-election', 'I-election', 'I-election', 'O', 'O', 'O', 'O', 'B-election', 'I-election', 'I-election', 'I-election', 'I-election', 'I-election', 'I-election', 'O', 'O', 'O', 'O', 'O']","['O', 'B-politician', 'I-politician', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'O', 'B-election', 'I-election', 'I-election', 'I-election', 'I-election', 'I-election', 'I-election', 'O', 'O', 'O', 'O', 'B-election', 'I-election', 'I-election', 'I-election', 'I-election', 'I-election', 'I-election', 'O', 'O', 'O', 'O', 'O']","1. John Melcher | True | as he is a politician (politician)
2. Senate | True | as it is an organisation (organisation)
3. 1976 United States Senate election in Montana | True | as it is an election (election)
4. 1982 United States Senate election in Montana | True | as it is an election (election)
5. re-election | False | as it is an action or event not an entity",1.0,"Incumbent | O John | B-politician Melcher | I-politician , | O who | O was | O first | O elected | O to | O the | O Senate | B-organisation in | O 1976 | B-election United | I-election States | I-election Senate | I-election election | I-election in | I-election Montana | I-election and | O was | O re-elected | O in | O 1982 | B-election United | I-election States | I-election Senate | I-election election | I-election in | I-election Montana | I-election , | O ran | O for | O re-election | O . | O","Incumbent | O John | B-politician Melcher | I-politician , | O who | O was | O first | O elected | O to | O the | O Senate | B-organisation in | O 1976 | B-election United | I-election States | I-election Senate | I-election election | I-election in | I-election Montana | I-election and | O was | O re-elected | O in | O 1982 | B-election United | I-election States | I-election Senate | I-election election | I-election in | I-election Montana | I-election , | O ran | O for | O re-election | O . | O",True
"In Canada , there are three major federal political parties : the Conservative Party of Canada , the Liberal Party of Canada , and the New Democratic Party .","['Canada', 'Conservative Party of Canada', 'Liberal Party of Canada', 'New Democratic Party']","['O', 'B-country', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O']","['O', 'B-country', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O']","1. Canada | True | as it is a country (country)
    2. three major federal political parties | False | as it is a phrase describing quantity but not naming an entity 
    3. the Conservative Party of Canada | True | as it is a political party (politicalparty)
    4. the Liberal Party of Canada | True | as it is a political party (politicalparty)
    5. the New Democratic Party | True | as it is a political party (politicalparty)",0.25,"In | O Canada | B-country , | O there | O are | O three | O major | O federal | O political | O parties | O : | O the | B-politicalparty Conservative | I-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty , | O the | B-politicalparty Liberal | I-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty , | O and | O the | B-politicalparty New | I-politicalparty Democratic | I-politicalparty Party | I-politicalparty . | O","In | O Canada | B-country , | O there | O are | O three | O major | O federal | O political | O parties | O : | O the | O Conservative | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty , | O the | O Liberal | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty , | O and | O the | O New | B-politicalparty Democratic | I-politicalparty Party | I-politicalparty . | O",False
"Furthermore , Nigel Farage and long-term Eurosceptic party UK Independence Party used images from the refugee crisis during their campaign to increase the anxiety about immigration that the crisis caused , prompting criticism from some Leave and Remain supporters .","['Nigel Farage', 'UK Independence Party']","['O', 'O', 'B-politician', 'I-politician', 'O', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-politician', 'I-politician', 'O', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'O', 'O', 'B-event', 'I-event', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-misc', 'I-misc', 'I-misc', 'I-misc', 'O']","1. Nigel Farage | True | as it is a person, specifically a politician (politician)
    2. UK Independence Party | True | as it is a political party (politicalparty)
    3. refugee crisis | True | as it is an event (event)
    4. immigration | False | as it is a concept, not a named entity
    5. crisis | False | as it is an action or state, not a named entity
    6. Leave and Remain supporters | True | as they are other political entities (misc)",0.6666666666666666,"Furthermore | O , | O Nigel | B-politician Farage | I-politician and | O long-term | O Eurosceptic | O party | O UK | B-politicalparty Independence | I-politicalparty Party | I-politicalparty used | O images | O from | O the | O refugee | B-event crisis | I-event during | O their | O campaign | O to | O increase | O the | O anxiety | O about | O immigration | O that | O the | O crisis | O caused | O , | O prompting | O criticism | O from | O some | O Leave | B-misc and | I-misc Remain | I-misc supporters | I-misc . | O","Furthermore | O , | O Nigel | B-politician Farage | I-politician and | O long-term | O Eurosceptic | O party | O UK | B-politicalparty Independence | I-politicalparty Party | I-politicalparty used | O images | O from | O the | O refugee | O crisis | O during | O their | O campaign | O to | O increase | O the | O anxiety | O about | O immigration | O that | O the | O crisis | O caused | O , | O prompting | O criticism | O from | O some | O Leave | O and | O Remain | O supporters | O . | O",False
"Digital Rights Watch also works with international groups such as AccessNow.org , Electronic Frontier Foundation , Open Media Foundation , European Digital Rights , Privacy International and others .","['AccessNow.org', 'Electronic Frontier Foundation', 'Open Media Foundation', 'European Digital Rights', 'Privacy International']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O', 'B-organisation', 'I-organisation', 'O', 'O', 'O']","['B-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O', 'B-organisation', 'I-organisation', 'O', 'O', 'O']","1. Digital Rights Watch | True | as it is an organisation (organisation)
    2. international groups | False | as it is a generic term and not a specific entity
    3. AccessNow.org | True | as it is an organisation (organisation)
    4. Electronic Frontier Foundation | True | as it is an organisation (organisation)
    5. Open Media Foundation | True | as it is an organisation (organisation)
    6. European Digital Rights | True | as it is an organisation (organisation)
    7. Privacy International | True | as it is an organisation (organisation)
    8. others | False | as it is a pronoun referring to other entities which are not specifically named here.",0.9090909090909092,"Digital | B-organisation Rights | I-organisation Watch | I-organisation also | O works | O with | O international | O groups | O such | O as | O AccessNow.org | B-organisation , | O Electronic | B-organisation Frontier | I-organisation Foundation | I-organisation , | O Open | B-organisation Media | I-organisation Foundation | I-organisation , | O European | B-organisation Digital | I-organisation Rights | I-organisation , | O Privacy | B-organisation International | I-organisation and | O others | O . | O","Digital | O Rights | O Watch | O also | O works | O with | O international | O groups | O such | O as | O AccessNow.org | B-organisation , | O Electronic | B-organisation Frontier | I-organisation Foundation | I-organisation , | O Open | B-organisation Media | I-organisation Foundation | I-organisation , | O European | B-organisation Digital | I-organisation Rights | I-organisation , | O Privacy | B-organisation International | I-organisation and | O others | O . | O",False
"ALP = Australian Labor Party , L + NP = grouping of Liberal Party of Australia / National Party of Australia / Liberal National Party of Queensland / Country Liberal Party Coalition parties ( and predecessors ) , Oth = other parties and independents .","['ALP', 'Australian Labor Party', 'Liberal Party of Australia', 'National Party of Australia', 'Liberal National Party of Queensland', 'Country Liberal Party']","['B-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'O', 'O', 'O', 'B-politicalparty', 'O', 'O', 'O', 'O', 'O', 'O']","1. ALP | True | shortened form of Australian Labor Party which is a political party (politicalparty)
   2. Australian Labor Party | True | it is a political party (politicalparty)
   3. L + NP | True | represents a grouping of political parties (politicalparty)
   4. Liberal Party of Australia | True | as it is a political party (politicalparty)
   5. National Party of Australia | True | as it is a political party (politicalparty)
   6. Liberal National Party of Queensland | True | as it is a political party (politicalparty)
   7. Country Liberal Party Coalition parties | True | as it is a political party coalition (politicalparty)
   8. Oth | True | this term refers to other parties and independents, which can be considered entities (politicalparty)
   9. other parties and independents | False | too general, not specifying any distinct political party or politician.",0.7142857142857143,"ALP | B-politicalparty = | O Australian | B-politicalparty Labor | I-politicalparty Party | I-politicalparty , | O L | B-politicalparty + | I-politicalparty NP | I-politicalparty = | O grouping | O of | O Liberal | B-politicalparty Party | I-politicalparty of | I-politicalparty Australia | I-politicalparty / | O National | B-politicalparty Party | I-politicalparty of | I-politicalparty Australia | I-politicalparty / | O Liberal | B-politicalparty National | I-politicalparty Party | I-politicalparty of | I-politicalparty Queensland | I-politicalparty / | O Country | B-politicalparty Liberal | I-politicalparty Party | I-politicalparty Coalition | I-politicalparty parties | I-politicalparty ( | O and | O predecessors | O ) | O , | O Oth | B-politicalparty = | O other | O parties | O and | O independents | O . | O","ALP | B-politicalparty = | O Australian | B-politicalparty Labor | I-politicalparty Party | I-politicalparty , | O L | O + | O NP | O = | O grouping | O of | O Liberal | B-politicalparty Party | I-politicalparty of | I-politicalparty Australia | I-politicalparty / | O National | B-politicalparty Party | I-politicalparty of | I-politicalparty Australia | I-politicalparty / | O Liberal | B-politicalparty National | I-politicalparty Party | I-politicalparty of | I-politicalparty Queensland | I-politicalparty / | O Country | B-politicalparty Liberal | I-politicalparty Party | I-politicalparty Coalition | O parties | O ( | O and | O predecessors | O ) | O , | O Oth | O = | O other | O parties | O and | O independents | O . | O",False
This tradition was broken in 1993 when massive vote-splitting between the Progressive Conservative Party of Canada and Reform Party of Canada allowed the Liberal Party of Canada to sneak up the middle and take the riding .,"['Progressive Conservative Party of Canada', 'Reform Party of Canada', 'Liberal Party of Canada']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. 1993 | False | as it is a date
2. massive vote-splitting | False | as it is an action or event 
3. Progressive Conservative Party of Canada | True | as it is a political party (politicalparty)
4. Reform Party of Canada | True | as it is a political party (politicalparty)
5. Liberal Party of Canada | True | as it is a political party (politicalparty)
6. the middle | False | as it is an abstract concept 
7. take the riding | False | as it is a phrase or action.",1.0,This | O tradition | O was | O broken | O in | O 1993 | O when | O massive | O vote-splitting | O between | O the | O Progressive | B-politicalparty Conservative | I-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty and | O Reform | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty allowed | O the | O Liberal | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty to | O sneak | O up | O the | O middle | O and | O take | O the | O riding | O . | O,This | O tradition | O was | O broken | O in | O 1993 | O when | O massive | O vote-splitting | O between | O the | O Progressive | B-politicalparty Conservative | I-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty and | O Reform | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty allowed | O the | O Liberal | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty to | O sneak | O up | O the | O middle | O and | O take | O the | O riding | O . | O,True
"Following the 1988 Canadian federal election , he co-authored Election : the issues , the strategies , the aftermath with Liberal Party of Canada strategiest Michael J. L. Kirby and Conservative Party of Canada strategist Hugh Segal .","['1988 Canadian federal election', 'Liberal Party of Canada', 'Michael J. L. Kirby', 'Conservative Party of Canada', 'Hugh Segal']","['O', 'O', 'B-election', 'I-election', 'I-election', 'I-election', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politician', 'I-politician', 'I-politician', 'I-politician', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-politician', 'I-politician', 'O']","['O', 'O', 'B-election', 'I-election', 'I-election', 'I-election', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-person', 'I-person', 'I-person', 'I-person', 'O', 'B-politicalparty', 'I-politicalparty', 'I-politicalparty', 'I-politicalparty', 'O', 'B-person', 'I-person', 'O']","1. 1988 Canadian federal election | True | as it is an election (election)
    2. Election : the issues , the strategies , the aftermath | False | while it appears to be a book or document, it is not clearly defined as a personal or organizational entity
    3. Liberal Party of Canada | True | as it is a political party (politicalparty)
    4. Michael J. L. Kirby | True | as it is a person (person)
    5. Conservative Party of Canada | True | as it is a political party (politicalparty)
    6. Hugh Segal | True | as it is a person (person)",0.6,"Following | O the | O 1988 | B-election Canadian | I-election federal | I-election election | I-election , | O he | O co-authored | O Election | O : | O the | O issues | O , | O the | O strategies | O , | O the | O aftermath | O with | O Liberal | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty strategiest | O Michael | B-person J. | I-person L. | I-person Kirby | I-person and | O Conservative | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty strategist | O Hugh | B-person Segal | I-person . | O","Following | O the | O 1988 | B-election Canadian | I-election federal | I-election election | I-election , | O he | O co-authored | O Election | O : | O the | O issues | O , | O the | O strategies | O , | O the | O aftermath | O with | O Liberal | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty strategiest | O Michael | B-politician J. | I-politician L. | I-politician Kirby | I-politician and | O Conservative | B-politicalparty Party | I-politicalparty of | I-politicalparty Canada | I-politicalparty strategist | O Hugh | B-politician Segal | I-politician . | O",False
"Edgar was recognized by several national organizations for his work , including by the American Legion , Vietnam Veterans of America and the National Taxpayers Union .","['Edgar', 'American Legion', 'Vietnam Veterans of America', 'National Taxpayers Union']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O']","1. Edgar | True | as it is a person's name (person)
2. national organizations | False | as this term is too generic and doesn't refer to a specific organization
3. American Legion | True | as it is an organization (organisation)
4. Vietnam Veterans of America | True | as it is a named organization (organisation)
5. National Taxpayers Union | True | as it is an organization (organisation)",1.0,"Edgar | B-person was | O recognized | O by | O several | O national | O organizations | O for | O his | O work | O , | O including | O by | O the | O American | B-organisation Legion | I-organisation , | O Vietnam | B-organisation Veterans | I-organisation of | I-organisation America | I-organisation and | O the | O National | B-organisation Taxpayers | I-organisation Union | I-organisation . | O","Edgar | B-person was | O recognized | O by | O several | O national | O organizations | O for | O his | O work | O , | O including | O by | O the | O American | B-organisation Legion | I-organisation , | O Vietnam | B-organisation Veterans | I-organisation of | I-organisation America | I-organisation and | O the | O National | B-organisation Taxpayers | I-organisation Union | I-organisation . | O",True
