,idx,para,entities,preds,meta,f1
0,269,CALIFORNIA 14 New York 3,"['CALIFORNIA', 'New', 'York']","['california', 'new', 'york']","1. California | True | as it is the name of a place or location
2. 14 | False | as it is a number
3. New York | True | as it is the name of a place or location
4. 3 | False | as it is a number",1.0
1,2890,"Kaczmarek said in May he was unhappy that only one investor ended up bidding for Ruch , in which the government was initially offering up to 35 percent of shares with an option to extend the holding after investment promises are fulfilled .","['Kaczmarek', 'Ruch']","['ruch', 'kaczmarek']","1. Kaczmarek | True | as it is a last name, potentially referring to a person
2. May | False | as it is a date
3. investor | False | as it is a generic term, not referring to a specific named organization or person
4. Ruch | True | as it is the name of a company or organization
5. government | False | as it is a generic term, not referring to a specific named organization
6. 35 percent | False | as it is a number
7. shares | False | as it is not a person, organization or location
8. holding | False | as it is not a person, organization, or location, but rather an abstract concept
9. investment promises | False | as it is not a person, organization, or location, but rather an abstract concept",1.0
2,701,Friday 's low in September gasoline was 62.75 .,[],[],"1. Friday | False | as it is a day of the week
2. September | False | as it is a month
3. gasoline | False | as it is a commodity or product, not a person, title, named organization, location, country or nationality
4. 62.75 | False | as it is a number and not an entity.",1.0
3,2339,"Nolan Henke , who led by two strokes entering the third round , carded a four-under 67 and was one stroke back at 18-under 195 .","['Nolan', 'Henke']","['nolan', 'henke']","1. Nolan Henke | True | as it is the name of a person
    2. two strokes | False | as it is a number and not an entity
    3. third round | False | as it represents a phase or part of a competition, which is not an entity
    4. four-under 67 | False | as it is a score and not an entity
    5. one stroke | False | as it is a number and not an entity
    6. 18-under 195 | False | as it is a score and not an entity",1.0
4,2259,BELGRADE 1996-08-31,['BELGRADE'],['belgrade'],"1. BELGRADE | True | as it is the name of a city or location
2. 1996-08-31 | False | as it is a date",1.0
5,2088,Division one,[],[],"1. Division one | False | as it is a classification or category, not a person, organization, or location",1.0
6,1316,- Net Income N / A N / A,[],[],"1. Net Income | False | as it is an abstract concept related to finance
2. N/A | False | as it stands for ""Not Applicable"" and is not a named person, organization, or location.",1.0
7,2648,"Miller , who went into the contest with a record of 24 knock-out wins in 32 fights , took charge from the opening bell and had his opponent on the canvas inside 90 seconds when he landed a deft left-hook to the head .",['Miller'],['miller'],"1. Miller | True | as it is the last name of a person (assuming a person in context)
    2. contest | False | as it is an abstract concept, not an entity
    3. record | False | as it is an abstract concept, not an entity
    4. 24 knock-out wins | False | as it is a number and a summary of an achievement, not an entity
    5. 32 fights | False | as it is a number and a summary of an achievement, not an entity
    6. opening bell | False | as it is a moment in time, not an entity
    7. opponent | False | as it is a general term without a specific name or title
    8. canvas | False | as it is an object used in context, but not specific enough to constitute an entity
    9. 90 seconds | False | as it is a measure of time, not an entity
    10. left-hook | False | as it is an action or technique, not an entity
    11. head | False | as it is a body part, not a specific entity.",1.0
8,1491,"Flavio Cotti , the chairman of the Organisation for Security and Cooperation in Europe ( OSCE ) , told German radio the Vienna-based body viewed the conflict in Chechnya as an internal Russian problem .","['Flavio', 'Cotti', 'Organisation', 'for', 'Security', 'and', 'Cooperation', 'in', 'Europe', 'OSCE', 'German', 'Vienna-based', 'Chechnya', 'Russian']","['flavio', 'cooperation', 'russian', 'cotti', 'organisation', 'vienna', 'chechnya', 'osce', 'security', 'europe', 'german', 'radio']","1. Flavio Cotti | True | as it is the name of a person
2. chairman | False | as it is a title but not a named title
3. Organisation for Security and Cooperation in Europe | True | as it is the name of an organization
4. OSCE | True | as it is an abbreviation for a named organization
5. German radio | True | as it refers to a named medium for communication
6. Vienna | True | as it is a place or location
7. Chechnya | True | as it is a place or location
8. Russian | True | as it is a nationality, even though it is an adjective.",0.7692307692307693
9,969,-- Bucharest Newsroom 40-1 3120264,"['Bucharest', 'Newsroom']","['newsroom', 'bucharest']","1. Bucharest Newsroom | True | as it is the name of an organization
    2. 40-1 3120264 | False | as it is a telephone number, which is not an entity.",1.0
10,615,R. Kaluwitharana b S. Waugh 8,"['R.', 'Kaluwitharana', 'S.', 'Waugh']","['s', 'kaluwitharana', 'r', 'waugh']","1. R. Kaluwitharana | True | as it is the name of a person
2. S. Waugh | True | as it is the name of a person
3. 8 | False | as it is a number.",1.0
11,1579,KOMPAS,['KOMPAS'],['kompas'],1. KOMPAS | True | as it is the name of a media company or organization,1.0
12,1681,"284 Robert Allenby ( Australia ) 69 71 71 73 , Miguel Angel Martin ( Spain ) 75 70 71 68 ( Allenby won at first play-off hole )","['Robert', 'Allenby', 'Australia', 'Miguel', 'Angel', 'Martin', 'Spain', 'Allenby']","['australia', 'spain', 'miguel', 'robert', 'angel', 'allenby', 'martin']","1. 284 | False | as it is a number
2. Robert Allenby | True | as it is the name of a person
3. Australia | True | as it is the name of a place or location
4. 69, 71, 73 | False | as these are numbers
5. Miguel Angel Martin | True | as it is the name of a person
6. Spain | True | as it is the name of a place or location
7. 75, 70, 68 | False | as these are numbers
8. Allenby won | False | as this represents the outcome of a game
9. first play-off hole | False | as it is not a person, organization or location",1.0
13,904,""" Help me , help me , "" said a chorus of women begging soldiers for food .",[],[],"1. chorus of women | False | as it is a group descriptor and not a named organization or specific group
    2. soldiers | False | as it is a general term for a group of people and not a specific named organization or group
    3. food | False | as it is not a named person, organization, or location",1.0
14,2359,"Steve Stricker , who tied for second at last week 's World Series of Golf , and Stuart Appleby were both five shots off the lead at 14 under .","['Steve', 'Stricker', 'World', 'Series', 'of', 'Golf', 'Stuart', 'Appleby']","['golf', 'appleby', 'stricker', 'series', 'steve', 'world', 'stuart']","1. Steve Stricker | True | as it is the name of a person
2. last week | False | as it is a time, not an entity
3. World Series of Golf | True | as it is a named event
4. Stuart Appleby | True | as it is the name of a person
5. 14 under | False | as it is a score, not an entity",0.9333333333333333
15,442,6. Isaac Viciosa ( Spain ) 3:53.85,"['Isaac', 'Viciosa', 'Spain']","['spain', 'isaac', 'viciosa']","1. Isaac Viciosa | True | as it is the name of a person
2. Spain | True | as it is the name of a country
3. 3:53.85 | False | as it is a time and not an entity",1.0
16,2154,"6. Paul Tracy ( Canada ) , Penske Mercedes-Benz , 54.620","['Paul', 'Tracy', 'Canada', 'Penske', 'Mercedes-Benz']","['mercedes-benz', 'penske', 'tracy', 'canada', 'paul']","1. Paul Tracy | True | as it is the name of a person
2. Canada | True | as it is the name of a place or location
3. Penske Mercedes-Benz | True | as it is the name of a racing team and organization
4. 54.620 | False | as it is a number or time value",1.0
17,764,"GERMANY - Bunds extended losses , flirting with session lows after falling victim to sharply higher U.S. economic data which revived fears that interest rates may soon turn higher .","['GERMANY', 'U.S.']","['u.s', 'bunds', 'germany']","1. GERMANY | True | as it is the name of a country
2. Bunds | True | as it is a specific type of financial instrument (German government bonds)
3. U.S. | True | as it stands for the United States, which is a country
4. economic data | False | as it is an abstract concept, not a specific named entity
5. interest rates | False | as it refers to a financial term, not a specific named entity",0.8
