,idx,para,entities,preds,meta,f1
0,132,At Rockefeller University he worked on macrophage Fc receptor s and lysosomal proteases .,"['Rockefeller University', 'macrophage Fc receptor', 'lysosomal proteases']","['rockefeller university', 'lysosomal proteases', 'macrophage fc receptor']","1. Rockefeller University | True | as it is a university
2. macrophage Fc receptor | True | as it is a protein
3. lysosomal proteases | True | as it is a type of enzyme",1.0
1,199,"He was also awarded the Davy Medal in 1971 , the Rumford Medal in 1978 , the Ellison-Cliffe Medal in 1991 and the Copley Medal in 1992 .","['Davy Medal', 'Rumford Medal', 'Ellison-Cliffe Medal', 'Copley Medal']","['copley medal', 'davy medal', 'rumford medal', 'ellison-cliffe medal']","1. Davy Medal | True | as it is an award
2. Rumford Medal | True | as it is an award
3. Ellison-Cliffe Medal | True | as it is an award
4. Copley Medal | True | as it is an award",1.0
2,112,"It was discovered on 24 September 1960 , by astronomers Cornelis Johannes van Houten , Ingrid van Houten-Groeneveld and Tom Gehrels at Palomar Observatory .","['Cornelis Johannes van Houten', 'Ingrid van Houten-Groeneveld', 'Tom Gehrels', 'Palomar Observatory']","['cornelis johannes van houten', 'tom gehrels', 'palomar observatory', 'ingrid van houten-groeneveld']","1. Cornelis Johannes van Houten | True | person
2. Ingrid van Houten-Groeneveld | True | person
3. Tom Gehrels | True | person
4. Palomar Observatory | True | location or organization",1.0
3,372,"In 1952 , the U.S. Army patented a process for the Preparation of Toxic Ricin , publishing a method of producing this powerful toxin .","['U.S. Army', 'Preparation of Toxic Ricin']","['u.s. army', 'ricin', 'preparation of toxic ricin']","1. U.S. Army | True | as it is an organization
2. Preparation of Toxic Ricin | True | as it is a process or scientific method
3. Ricin | True | as it is a chemical compound or toxin",0.8
4,193,"He was educated at the Technical University of Munich from 1925 to 1927 and then entered the Technical University of Berlin , where he posited that microscope s using electrons , with wavelengths 1000 times shorter than those of light , could provide a more detailed picture of an object than a microscope utilizing light , in which magnification is limited by the size of the wavelengths .","['Technical University of Munich', 'Technical University of Berlin']","['technical university of munich', 'microscopes', 'technical university of berlin', 'electrons']","1. Technical University of Munich | True | as it is a university
    2. 1925 | False | as it is a date
    3. 1927 | False | as it is a date
    4. Technical University of Berlin | True | as it is a university
    5. Microscopes | True | as it is a scientific instrument
    6. Electrons | True | as it is a subatomic particle
    7. Wavelengths | False | as it is a scientific attribute, not a named entity
    8. Light | False | as it is a scientific attribute, not a named entity
    9. Magnification | False | as it is a scientific attribute, not a named entity",0.6666666666666666
5,221,"Ooguri has been on the editorial boards of Advances in Theoretical and Mathematical Physics , the Journal of High Energy Physics ( 1997-2006 ) , Nuclear Physics B ( 1998 - 2013 ) , Physical Review D ( 2006-2009 ) and Communications in Mathematical Physics ( 2014 - 2015 ) .","['Ooguri', 'Advances in Theoretical and Mathematical Physics', 'Journal of High Energy Physics', 'Nuclear Physics B', 'Physical Review D', 'Communications in Mathematical Physics']","['ooguri', 'advances in theoretical and mathematical physics', 'nuclear physics b', 'physical review d', 'journal of high energy physics', 'communications in mathematical physics']","1. Ooguri | True | as it is a person
2. Advances in Theoretical and Mathematical Physics | True | as it is an academic journal
3. Journal of High Energy Physics | True | as it is an academic journal
4. Nuclear Physics B | True | as it is an academic journal
5. Physical Review D | True | as it is an academic journal
6. Communications in Mathematical Physics | True | as it is an academic journal",1.0
6,27,He is known for his studies on DNA and RNA polymerase s .,"['DNA', 'RNA polymerase']","['rna polymerase', 'dna']","1. DNA | True | as it is a chemical compound
2. RNA polymerase | True | as it is a chemical compound",1.0
7,437,"It was discovered on 26 September 1960 , by Ingrid van Houten-Groeneveld and Cornelis van Houten at Leiden , and Tom Gehrels at Palomar Observatory in California , United States .","['Ingrid van Houten-Groeneveld', 'Cornelis van Houten', 'Leiden', 'Tom Gehrels', 'Palomar Observatory', 'California', 'United States']","['palomar observatory', 'cornelis van houten', 'california', 'leiden', 'united states', 'tom gehrels', 'ingrid van houten-groeneveld']","1. Ingrid van Houten-Groeneveld | True | as it is a person
2. Cornelis van Houten | True | as it is a person
3. 26 September 1960 | False | as it is a date
4. Leiden | True | as it is a location
5. Tom Gehrels | True | as it is a person
6. Palomar Observatory | True | as it is an organization or location
7. California | True | as it is a location
8. United States | True | as it is a country",1.0
8,360,H3K27ac is an epigenetic modification to the DNA packaging protein Histone H3 .,"['H3K27ac', 'epigenetic modification', 'DNA packaging protein', 'Histone H3']","['epigenetic modification', 'histone h3', 'h3k27ac', 'dna']","1. H3K27ac | True | as it is a chemical compound
2. Epigenetic modification | True | as it is a scientific concept related to genetics
3. DNA | True | as it is a chemical compound
4. Histone H3 | True | as it is a protein",0.75
9,13,"In addition to his steady research output , Naqvi has manifested his commitment to teaching by contributing to journals devoted to didactical aspects of science ( American Journal of Physics , European Journal of Physics , Journal of Chemical Education ) .","['Naqvi', 'American Journal of Physics', 'European Journal of Physics', 'Journal of Chemical Education']","['european journal of physics', 'american journal of physics', 'naqvi', 'journal of chemical education']","1. Naqvi | True | as it is a person
2. American Journal of Physics | True | as it is an academic journal
3. European Journal of Physics | True | as it is an academic journal
4. Journal of Chemical Education | True | as it is an academic journal",1.0
10,436,"The film was also nominated for Academy Award for Best Supporting Actor ( Sam Shepard ) , Academy Award for Best Production Design ( Art Direction : Geoffrey Kirkland , Richard Lawrence , W. Stewart Campbell and Peter R. Romero ; Set Decoration : George R. Nelson ) , Academy Award for Best Cinematography ( Caleb Deschanel ) and Academy Award for Best Picture .","['Academy Award for Best Supporting Actor', 'Sam Shepard', 'Academy Award for Best Production Design', 'Art Direction', 'Geoffrey Kirkland', 'Richard Lawrence', 'W. Stewart Campbell', 'Peter R. Romero', 'Set Decoration', 'George R. Nelson', 'Academy Award for Best Cinematography', 'Caleb Deschanel', 'Academy Award for Best Picture']","['george r. nelson', 'geoffrey kirkland', 'academy award for best supporting actor', 'peter r. romero', 'sam shepard', 'academy award for best production design', 'w. stewart campbell', 'caleb deschanel', 'academy award for best cinematography', 'richard lawrence', 'academy award for best picture']","1. Academy Award for Best Supporting Actor | True | as it is an award
    2. Sam Shepard | True | as it is a person
    3. Academy Award for Best Production Design | True | as it is an award
    4. Geoffrey Kirkland | True | as it is a person
    5. Richard Lawrence | True | as it is a person
    6. W. Stewart Campbell | True | as it is a person
    7. Peter R. Romero | True | as it is a person
    8. George R. Nelson | True | as it is a person
    9. Academy Award for Best Cinematography | True | as it is an award
    10. Caleb Deschanel | True | as it is a person
    11. Academy Award for Best Picture | True | as it is an award",0.9166666666666666
11,58,"Thompson endowed the Rumford medal s of the Royal Society and the American Academy of Arts and Sciences , and endowed a professorship at Harvard University .","['Thompson', 'Rumford medal', 'Royal Society', 'American Academy of Arts and Sciences', 'Harvard University']","['royal society', 'american academy of arts and sciences', 'rumford medal', 'harvard university', 'thompson']","1. Thompson | True | as it is a person
2. Rumford medal | True | as it is an award
3. Royal Society | True | as it is an organization
4. American Academy of Arts and Sciences | True | as it is an organization
