text,entities,truth,pred,meta,f1,pred_text,truth_text,correct
"The first actual missionary in Sweden and the Nordic countries ( and organizer of the Catholic church therein ) , Ansgar was later declared Patron of Scandinavia .","['Sweden', 'Nordic countries', 'Ansgar', 'Scandinavia']","['O', 'O', 'O', 'O', 'O', 'B-country', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-writer', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O']","['O', 'O', 'O', 'O', 'O', 'B-country', 'O', 'O', 'B-country', 'I-country', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. missionary | False | as this is a profession and not specified in the entity list defined
2. Sweden | True | as this is a country (country) 
3. Nordic countries | True | as these are countries (country)
4. organizer | False | as this is a role and not an entity
5. Catholic church | True | as an organization (organisation)
6. Ansgar | True | as this is a person's name (person)
7. Patron of Scandinavia | False | as it is a title and not specified in the entity list.",0.25,"The | O first | O actual | O missionary | O in | O Sweden | B-country and | O the | O Nordic | B-country countries | I-country ( | O and | O organizer | O of | O the | O Catholic | B-organisation church | I-organisation therein | O ) | O , | O Ansgar | B-person was | O later | O declared | O Patron | O of | O Scandinavia | O . | O","The | O first | O actual | O missionary | O in | O Sweden | B-country and | O the | O Nordic | B-location countries | I-location ( | O and | O organizer | O of | O the | O Catholic | O church | O therein | O ) | O , | O Ansgar | B-writer was | O later | O declared | O Patron | O of | O Scandinavia | B-location . | O",False
"Dune was parodied in 1984 's National Lampoon 's Doon by Ellis Weiner , which William F. Touponce called something of a tribute to Herbert 's success on college campuses , noting that the only other book to have been so honored is J. R. R. Tolkien ' s Lord of the Rings , which Bored of the Rings by The Harvard Lampoon in 1969 .","['Dune', ""National Lampoon 's Doon"", 'Ellis Weiner', 'William F. Touponce', 'Herbert', 'J. R. R. Tolkien', 'Lord of the Rings', 'Bored of the Rings', 'The Harvard Lampoon']","['B-book', 'O', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'I-book', 'I-book', 'O', 'B-writer', 'I-writer', 'O', 'O', 'B-writer', 'I-writer', 'I-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'B-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-writer', 'I-writer', 'I-writer', 'I-writer', 'O', 'O', 'B-book', 'I-book', 'I-book', 'I-book', 'O', 'O', 'B-book', 'I-book', 'I-book', 'I-book', 'O', 'B-magazine', 'I-magazine', 'I-magazine', 'O', 'O', 'O']","['B-book', 'O', 'O', 'O', 'B-misc', 'O', 'B-magazine', 'I-magazine', 'O', 'B-book', 'O', 'B-writer', 'I-writer', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-writer', 'I-writer', 'I-writer', 'I-writer', 'O', 'O', 'B-book', 'I-book', 'I-book', 'I-book', 'O', 'O', 'B-book', 'I-book', 'I-book', 'I-book', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O', 'B-misc', 'O']","1. Dune | True | as this is a novel (book)
    2. 1984 | True | as it is a year of a book's publication (misc)
    3. National Lampoon | True | as it is a magazine (magazine)
    4. Doon | True | as it is a literature work which is a parody of Dune (book)
    5. Ellis Weiner | True | as he wrote a parody on Dune (writer)
    6. William F. Touponce | True | as it appears to be a person who made a comment about Herbert's success on college campuses (person)
    7. Herbert | True | as it refers to the author Frank Herbert (writer)
    8. college campuses | False | as it refers to a category of places but not to a specific named location
    9. J. R. R. Tolkien | True | as he is the author of Lord of the Rings (writer)
    10. Lord of the Rings | True | as it is a book (book)
    11. Bored of the Rings | True | as this is another parody of a book (book)
    12. The Harvard Lampoon | True | as this is a publication, an organisation (organisation)
    13. 1969 | True | as it is a year a book was published (misc).",0.5714285714285715,"Dune | B-book was | O parodied | O in | O 1984 | B-misc 's | O National | B-magazine Lampoon | I-magazine 's | O Doon | B-book by | O Ellis | B-writer Weiner | I-writer , | O which | O William | B-person F. | I-person Touponce | I-person called | O something | O of | O a | O tribute | O to | O Herbert | B-writer 's | O success | O on | O college | O campuses | O , | O noting | O that | O the | O only | O other | O book | O to | O have | O been | O so | O honored | O is | O J. | B-writer R. | I-writer R. | I-writer Tolkien | I-writer ' | O s | O Lord | B-book of | I-book the | I-book Rings | I-book , | O which | O Bored | B-book of | I-book the | I-book Rings | I-book by | O The | B-organisation Harvard | I-organisation Lampoon | I-organisation in | O 1969 | B-misc . | O","Dune | B-book was | O parodied | O in | O 1984 | O 's | O National | B-book Lampoon | I-book 's | I-book Doon | I-book by | O Ellis | B-writer Weiner | I-writer , | O which | O William | B-writer F. | I-writer Touponce | I-writer called | O something | O of | O a | O tribute | O to | O Herbert | B-writer 's | O success | O on | O college | O campuses | O , | O noting | O that | O the | O only | O other | O book | O to | O have | O been | O so | O honored | O is | O J. | B-writer R. | I-writer R. | I-writer Tolkien | I-writer ' | O s | O Lord | B-book of | I-book the | I-book Rings | I-book , | O which | O Bored | B-book of | I-book the | I-book Rings | I-book by | O The | B-magazine Harvard | I-magazine Lampoon | I-magazine in | O 1969 | O . | O",False
See also The Snow Man and Gubbinal for related experiments in perspective .,"['The Snow Man', 'Gubbinal']","['O', 'O', 'B-poem', 'I-poem', 'I-poem', 'O', 'B-poem', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-book or poem', 'I-book or poem', 'I-book or poem', 'O', 'B-book or poem', 'O', 'O', 'O', 'O', 'O', 'O']","1. The Snow Man | True | This could potentially be the name of a book or a poem (book or poem)
2. Gubbinal | True | This could potentially be the name of a book or a poem (book or poem)
3. perspective | False | This is a concept, not an entity. 
4. experiments | False | This is an action, not an entity. 
5. related | False | This is an adjective, not an entity. 
6. See also | False | This is a command, not an entity.",0.0,See | O also | O The | B-book or poem Snow | I-book or poem Man | I-book or poem and | O Gubbinal | B-book or poem for | O related | O experiments | O in | O perspective | O . | O,See | O also | O The | B-poem Snow | I-poem Man | I-poem and | O Gubbinal | B-poem for | O related | O experiments | O in | O perspective | O . | O,False
"Another well-known version of the play is Jedermann by the Austrian playwright Hugo von Hofmannsthal , which has been performed annually at the Salzburg Festival since 1920 , .","['Jedermann', 'Austrian', 'Hugo von Hofmannsthal', 'Salzburg Festival']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-book', 'O', 'O', 'B-misc', 'O', 'B-writer', 'I-writer', 'I-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event', 'I-event', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-book', 'O', 'O', 'B-misc', 'O', 'B-writer', 'I-writer', 'I-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event', 'I-event', 'O', 'O', 'O', 'O']","1. Another | False | as it is an adjective
2. well-known | False | as it is an adjective
3. version | False | as it is not a named entity
4. play | False | as it is a general type of literature not an entity
5. Jedermann | True | as it is the name of a play (book)
6. Austrian | True | as it is a nationality (misc)
7. playwright | False | as it is a profession not an entity
8. Hugo von Hofmannsthal | True | as this is a writer who is a playwright (writer)
9. Salzburg Festival | True | as it is a named event (event)
10. 1920 | False | as it is a year or a date
",1.0,"Another | O well-known | O version | O of | O the | O play | O is | O Jedermann | B-book by | O the | O Austrian | B-misc playwright | O Hugo | B-writer von | I-writer Hofmannsthal | I-writer , | O which | O has | O been | O performed | O annually | O at | O the | O Salzburg | B-event Festival | I-event since | O 1920 | O , | O . | O","Another | O well-known | O version | O of | O the | O play | O is | O Jedermann | B-book by | O the | O Austrian | B-misc playwright | O Hugo | B-writer von | I-writer Hofmannsthal | I-writer , | O which | O has | O been | O performed | O annually | O at | O the | O Salzburg | B-event Festival | I-event since | O 1920 | O , | O . | O",True
"The poem was translated into a number of languages , including the Middle English Ywain and Gawain ; the Old Norwegian Chivaldric Ívens saga , and the Old Swedish Herr Ivan .","['poem', 'Middle English', 'Ywain and Gawain', 'Old Norwegian', 'Ívens saga', 'Old Swedish', 'Herr Ivan']","['O', 'B-literarygenre', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-misc', 'I-misc', 'B-poem', 'I-poem', 'I-poem', 'O', 'O', 'B-misc', 'I-misc', 'O', 'B-poem', 'I-poem', 'O', 'O', 'O', 'B-misc', 'I-misc', 'B-poem', 'I-poem', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-misc', 'I-misc', 'B-poem', 'I-poem', 'I-poem', 'O', 'O', 'B-misc', 'I-misc', 'B-poem', 'I-poem', 'I-poem', 'O', 'O', 'O', 'B-misc', 'I-misc', 'B-poem', 'I-poem', 'O']","1. poem | False | as it refers to a literary genre, not a title of a poem
2. number of languages | False | as these are not named or specific languages
3. Middle English | True | as it indicates a specific language (misc)
4. Ywain and Gawain | True | as it is a poem's title (poem)
5. Old Norwegian | True | as it indicates a specific language (misc)
6. Chivaldric Ívens saga | True | as it is a poem's title in a different language (poem)
7. Old Swedish | True | as it indicates a specific language (misc)
8. Herr Ivan | True | as it is a poem's title in a third language (poem)",0.7692307692307692,"The | O poem | O was | O translated | O into | O a | O number | O of | O languages | O , | O including | O the | O Middle | B-misc English | I-misc Ywain | B-poem and | I-poem Gawain | I-poem ; | O the | O Old | B-misc Norwegian | I-misc Chivaldric | B-poem Ívens | I-poem saga | I-poem , | O and | O the | O Old | B-misc Swedish | I-misc Herr | B-poem Ivan | I-poem . | O","The | O poem | B-literarygenre was | O translated | O into | O a | O number | O of | O languages | O , | O including | O the | O Middle | B-misc English | I-misc Ywain | B-poem and | I-poem Gawain | I-poem ; | O the | O Old | B-misc Norwegian | I-misc Chivaldric | O Ívens | B-poem saga | I-poem , | O and | O the | O Old | B-misc Swedish | I-misc Herr | B-poem Ivan | I-poem . | O",False
"Wilder earned the Academy Award for Best Director and Academy Award for Best Adapted Screenplay Academy Awards for the adaptation of a Charles R. Jackson story , The Lost Weekend ( 1945 ) , about alcoholism .","['Wilder', 'Academy Award for Best Director', 'Academy Award for Best Adapted Screenplay', 'Academy Awards', 'Charles R. Jackson', 'The Lost Weekend']","['B-person', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'I-award', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'B-award', 'I-award', 'O', 'O', 'O', 'O', 'O', 'B-writer', 'I-writer', 'I-writer', 'O', 'O', 'B-book', 'I-book', 'I-book', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-person', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'I-award', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'O', 'O', 'O', 'O', 'O', 'B-Writer', 'I-Writer', 'I-Writer', 'O', 'O', 'B-book', 'I-book', 'I-book', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. Wilder | True | as it is a person who has won an award (person)
    2. Academy Award for Best Director | True | as it is an award (award)
    3. Academy Award for Best Adapted Screenplay Academy Awards | True | as it is an award (award)
    4. Charles R. Jackson | True | as it is somebody who has written a story (Writer)
    5. The Lost Weekend | True | it is a book as stated in the paragraph (book)
    6. 1945 | False | as it is a year
    7. alcoholism | False | as it is a theme.",0.5454545454545454,"Wilder | B-person earned | O the | O Academy | B-award Award | I-award for | I-award Best | I-award Director | I-award and | O Academy | B-award Award | I-award for | I-award Best | I-award Adapted | I-award Screenplay | I-award Academy | I-award Awards | I-award for | O the | O adaptation | O of | O a | O Charles | B-Writer R. | I-Writer Jackson | I-Writer story | O , | O The | B-book Lost | I-book Weekend | I-book ( | O 1945 | O ) | O , | O about | O alcoholism | O . | O","Wilder | B-person earned | O the | O Academy | B-award Award | I-award for | I-award Best | I-award Director | I-award and | O Academy | B-award Award | I-award for | I-award Best | I-award Adapted | I-award Screenplay | I-award Academy | B-award Awards | I-award for | O the | O adaptation | O of | O a | O Charles | B-writer R. | I-writer Jackson | I-writer story | O , | O The | B-book Lost | I-book Weekend | I-book ( | O 1945 | O ) | O , | O about | O alcoholism | O . | O",False
"In 1990 , after an ideological disagreement with Peikoff , philosopher David Kelley founded the Institute for Objectivist Studies , now known as The Atlas Society ..","['Peikoff', 'David Kelley', 'Objectivist Studies', 'The Atlas Society']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'B-misc', 'I-misc', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O']","1. 1990 | False | as it is a date
    2. Peikoff | True | as they are a person (person)
    3. philosopher | False | as it is a profession, not an entity
    4. David Kelley | True | this is a philosopher who has founded an institute (person)
    5. Institute for Objectivist Studies | True | as this is an organisation (organisation)
    6. The Atlas Society | True | as this is a re-named organisation (organisation)",0.75,"In | O 1990 | O , | O after | O an | O ideological | O disagreement | O with | O Peikoff | B-person , | O philosopher | O David | B-person Kelley | I-person founded | O the | O Institute | B-organisation for | I-organisation Objectivist | I-organisation Studies | I-organisation , | O now | O known | O as | O The | B-organisation Atlas | I-organisation Society | I-organisation .. | O","In | O 1990 | O , | O after | O an | O ideological | O disagreement | O with | O Peikoff | B-person , | O philosopher | O David | B-person Kelley | I-person founded | O the | O Institute | O for | O Objectivist | B-misc Studies | I-misc , | O now | O known | O as | O The | B-organisation Atlas | I-organisation Society | I-organisation .. | O",False
"Two decades later , Herbert 's son Brian Herbert , along with Kevin J. Anderson , published two sequel s - Hunters of Dune ( 2006 ) and Sandworms of Dune ( 2007 ) - based in part on notes left behind by Frank Herbert for what he referred to as Dune 7 , his own planned seventh novel in the Dune series .","['Herbert', 'Brian Herbert', 'Kevin J. Anderson', 'Hunters of Dune', 'Sandworms of Dune', 'Frank Herbert', 'Dune 7', 'novel', 'Dune series']","['O', 'O', 'O', 'O', 'B-writer', 'O', 'O', 'B-writer', 'I-writer', 'O', 'O', 'O', 'B-writer', 'I-writer', 'I-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'I-book', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'I-book', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-writer', 'I-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'O', 'O', 'O', 'O', 'O', 'B-literarygenre', 'O', 'O', 'B-misc', 'I-misc', 'O']","['O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'B-writer', 'I-writer', 'O', 'O', 'O', 'B-writer', 'I-writer', 'I-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'I-book', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'I-book', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-writer', 'I-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'O']","1. Two decades | False | as it indicates time period and is not an entity
    2. Herbert | True | as it appears to be the last name of a person who has a son who has written literature (person)
    3. Brian Herbert | True | as this is a writer who has written Dune sequels (writer)
    4. Kevin J. Anderson | True | as this is a writer who has written in the Dune sequels (writer)
    5. two sequels | False | as it is a quantity not an entity
    6. Hunters of Dune (2006) | True | as this is the name of a book (book)
    7. Sandworms of Dune (2007) | True | as this is the name of a book (book)
    8. notes | False | as it is an object not an entity
    9. Frank Herbert | True | as this is a writer who planned the seventh book of the Dune series (writer)
    10. Dune 7 | True | as this reference to anything like seventh Dune book (book)
    11. seventh | False | as it is numeral not an entity
    12. Dune series | True | as this is a book series (book).",0.7058823529411765,"Two | O decades | O later | O , | O Herbert | B-person 's | O son | O Brian | B-writer Herbert | I-writer , | O along | O with | O Kevin | B-writer J. | I-writer Anderson | I-writer , | O published | O two | O sequel | O s | O - | O Hunters | B-book of | I-book Dune | I-book ( | O 2006 | O ) | O and | O Sandworms | B-book of | I-book Dune | I-book ( | O 2007 | O ) | O - | O based | O in | O part | O on | O notes | O left | O behind | O by | O Frank | B-writer Herbert | I-writer for | O what | O he | O referred | O to | O as | O Dune | B-book 7 | I-book , | O his | O own | O planned | O seventh | O novel | O in | O the | O Dune | B-book series | I-book . | O","Two | O decades | O later | O , | O Herbert | B-writer 's | O son | O Brian | B-writer Herbert | I-writer , | O along | O with | O Kevin | B-writer J. | I-writer Anderson | I-writer , | O published | O two | O sequel | O s | O - | O Hunters | B-book of | I-book Dune | I-book ( | O 2006 | O ) | O and | O Sandworms | B-book of | I-book Dune | I-book ( | O 2007 | O ) | O - | O based | O in | O part | O on | O notes | O left | O behind | O by | O Frank | B-writer Herbert | I-writer for | O what | O he | O referred | O to | O as | O Dune | B-book 7 | I-book , | O his | O own | O planned | O seventh | O novel | B-literarygenre in | O the | O Dune | B-misc series | I-misc . | O",False
"Verne 's largest body of work is the Voyages extraordinaires series , which includes all of his novels except for the two rejected manuscripts Paris in the Twentieth Century and Backwards to Britain ( published posthumously in 1994 and 1989 , respectively ) and for projects left unfinished at his death ( many of which would be posthumously adapted or rewritten for publication by his son Michel ) .","['Verne', 'Voyages extraordinaires', 'novels', 'Paris in the Twentieth Century', 'Backwards to Britain', 'Michel']","['B-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-literarygenre', 'O', 'O', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'I-book', 'I-book', 'I-book', 'O', 'B-book', 'I-book', 'I-book', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O']","['B-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'I-book', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-book', 'I-book', 'I-book', 'I-book', 'I-book', 'O', 'B-book', 'I-book', 'I-book', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O']","1. Verne | True | as it is the last name of a writer (writer)
    2. Voyages extraordinaires series | True | as it is a series of books (book)
    3. novels | False | as this is a type of literary work but no specific novel was mentioned
    4. two rejected manuscripts | False | as this is an adjective phrase 
    5. Paris in the Twentieth Century | True | as it's a book title (book)
    6. Backwards to Britain | True | as it's the title of a book (book)
    7. 1994 and 1989 | False | these are years and do not constitute entities 
    8. projects | False | as these are vague and not specific entities 
    9. death | False | as this a state of being 
    10. Michel | True | as this is a name of a person (person).",0.7272727272727272,"Verne | B-writer 's | O largest | O body | O of | O work | O is | O the | O Voyages | B-book extraordinaires | I-book series | I-book , | O which | O includes | O all | O of | O his | O novels | O except | O for | O the | O two | O rejected | O manuscripts | O Paris | B-book in | I-book the | I-book Twentieth | I-book Century | I-book and | O Backwards | B-book to | I-book Britain | I-book ( | O published | O posthumously | O in | O 1994 | O and | O 1989 | O , | O respectively | O ) | O and | O for | O projects | O left | O unfinished | O at | O his | O death | O ( | O many | O of | O which | O would | O be | O posthumously | O adapted | O or | O rewritten | O for | O publication | O by | O his | O son | O Michel | B-person ) | O . | O","Verne | B-writer 's | O largest | O body | O of | O work | O is | O the | O Voyages | B-book extraordinaires | I-book series | O , | O which | O includes | O all | O of | O his | O novels | B-literarygenre except | O for | O the | O two | O rejected | O manuscripts | O Paris | B-book in | I-book the | I-book Twentieth | I-book Century | I-book and | O Backwards | B-book to | I-book Britain | I-book ( | O published | O posthumously | O in | O 1994 | O and | O 1989 | O , | O respectively | O ) | O and | O for | O projects | O left | O unfinished | O at | O his | O death | O ( | O many | O of | O which | O would | O be | O posthumously | O adapted | O or | O rewritten | O for | O publication | O by | O his | O son | O Michel | B-person ) | O . | O",False
"When Handke was awarded the International Ibsen Award in 2014 , it caused some calls On the other hand , Jon Fosse , former recipient of the prize , welcomed the decision , saying that Handke was a worthy recipient and deserved the Nobel Prize in Literature .","['Handke', 'International Ibsen Award', 'Jon Fosse', 'Handke', 'Nobel Prize in Literature']","['O', 'B-writer', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-writer', 'I-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-writer', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'O']","['O', 'B-person', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'O']","1. Handke | True | as this is a person (person)
   2. International Ibsen Award | True | as it is a named award (award)
   3. 2014 | False | as this is a year, which isn't an entity on the defined list
   4. Jon Fosse | True | as this is a person (person)
   5. prize | False | as it is a general term for an award, but not a specific, named award
   6. Nobel Prize in Literature | True | as it is a named award (award)",0.4444444444444445,"When | O Handke | B-person was | O awarded | O the | O International | B-award Ibsen | I-award Award | I-award in | O 2014 | O , | O it | O caused | O some | O calls | O On | O the | O other | O hand | O , | O Jon | B-person Fosse | I-person , | O former | O recipient | O of | O the | O prize | O , | O welcomed | O the | O decision | O , | O saying | O that | O Handke | O was | O a | O worthy | O recipient | O and | O deserved | O the | O Nobel | B-award Prize | I-award in | I-award Literature | I-award . | O","When | O Handke | B-writer was | O awarded | O the | O International | B-award Ibsen | I-award Award | I-award in | O 2014 | O , | O it | O caused | O some | O calls | O On | O the | O other | O hand | O , | O Jon | B-writer Fosse | I-writer , | O former | O recipient | O of | O the | O prize | O , | O welcomed | O the | O decision | O , | O saying | O that | O Handke | B-writer was | O a | O worthy | O recipient | O and | O deserved | O the | O Nobel | B-award Prize | I-award in | I-award Literature | I-award . | O",False
