text,entities,truth,pred,meta,f1,pred_text,truth_text,correct
"The first center in the state totally dedicated to the care and treatment of the eye it currently handles over 23,000 patients and performs 10,000 surgical procedures each year as well as having the only 24 hour a day emergency eye treatment center in Alabama ; it also serves as a training center for ophthalmology residents .",['Alabama'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. The first center | False | as it is referring to a center without giving its specific name
2. State | False | as it is being used in a generic sense and doesn't refer to a specific state
3. Alabama | True | This is a U.S. state and thus counts as a geographic location (location-GPE)
4. Training center for ophthalmology residents | False | This is being defined by its function, not its name, which is required for an entity.",1.0,"The | O first | O center | O in | O the | O state | O totally | O dedicated | O to | O the | O care | O and | O treatment | O of | O the | O eye | O it | O currently | O handles | O over | O 23,000 | O patients | O and | O performs | O 10,000 | O surgical | O procedures | O each | O year | O as | O well | O as | O having | O the | O only | O 24 | O hour | O a | O day | O emergency | O eye | O treatment | O center | O in | O Alabama | location-GPE ; | O it | O also | O serves | O as | O a | O training | O center | O for | O ophthalmology | O residents | O . | O","The | O first | O center | O in | O the | O state | O totally | O dedicated | O to | O the | O care | O and | O treatment | O of | O the | O eye | O it | O currently | O handles | O over | O 23,000 | O patients | O and | O performs | O 10,000 | O surgical | O procedures | O each | O year | O as | O well | O as | O having | O the | O only | O 24 | O hour | O a | O day | O emergency | O eye | O treatment | O center | O in | O Alabama | location-GPE ; | O it | O also | O serves | O as | O a | O training | O center | O for | O ophthalmology | O residents | O . | O",True
In May 2016 DVC approved Vacatia for DVC resales .,"['DVC', 'Vacatia', 'DVC']","['O', 'O', 'O', 'organization-other', 'O', 'organization-company', 'O', 'organization-other', 'O', 'O']","['O', 'O', 'O', 'organization-other', 'O', 'organization-company', 'O', 'O', 'O', 'O']","1. May 2016 | False | as it is a date
2. DVC | True | since it is abbreviated it is challenging to classify but it could be an organization (organization-other)
3. Vacatia | True | as it is a company name (organization-company)
4. DVC resales | False | as it refers to a type of transaction, not an organization or location.",0.8,In | O May | O 2016 | O DVC | organization-other approved | O Vacatia | organization-company for | O DVC | O resales | O . | O,In | O May | O 2016 | O DVC | organization-other approved | O Vacatia | organization-company for | O DVC | organization-other resales | O . | O,False
Milken graduated in the top ten percent of his class at UCLA School of Law .,['UCLA School of Law'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'organization-education', 'organization-education', 'organization-education', 'organization-education', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'organization-education', 'organization-education', 'organization-education', 'organization-education', 'O']","1. Milken | False | as it is a person's name
2. UCLA School of Law | True | as it is an institute of education (organization-education) 
3. top ten percent | False | as it is an abstract concept or a quantitative information
4. class | False | as it is neither a location nor an organization.",1.0,Milken | O graduated | O in | O the | O top | O ten | O percent | O of | O his | O class | O at | O UCLA | organization-education School | organization-education of | organization-education Law | organization-education . | O,Milken | O graduated | O in | O the | O top | O ten | O percent | O of | O his | O class | O at | O UCLA | organization-education School | organization-education of | organization-education Law | organization-education . | O,True
"She may have been a native of Zaragoza , or born in Orán in Algeria and moved to the city later in life .","['Zaragoza', 'Orán', 'Algeria']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. Zaragoza | True | as it is a city (location-GPE)
2. Orán | True | as it is a city (location-GPE)
3. Algeria | True | as it is a country (location-GPE)",1.0,"She | O may | O have | O been | O a | O native | O of | O Zaragoza | location-GPE , | O or | O born | O in | O Orán | location-GPE in | O Algeria | location-GPE and | O moved | O to | O the | O city | O later | O in | O life | O . | O","She | O may | O have | O been | O a | O native | O of | O Zaragoza | location-GPE , | O or | O born | O in | O Orán | location-GPE in | O Algeria | location-GPE and | O moved | O to | O the | O city | O later | O in | O life | O . | O",True
"On 24 December 2007 , MAXjet announced that they permanently suspended all flight operations citing rising fuel costs , increased crew salaries , and other unforeseen costs .",['MAXjet'],"['O', 'O', 'O', 'O', 'O', 'organization-company', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'organization-company', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. 24 December 2007 | False | as it is a date
2. MAXjet | True | as it is a company (organization-company)
3. flight operations, rising fuel costs, increased crew salaries, and other unforeseen costs | False | as they are processes, concepts, or business issues, not organizations or locations.",1.0,"On | O 24 | O December | O 2007 | O , | O MAXjet | organization-company announced | O that | O they | O permanently | O suspended | O all | O flight | O operations | O citing | O rising | O fuel | O costs | O , | O increased | O crew | O salaries | O , | O and | O other | O unforeseen | O costs | O . | O","On | O 24 | O December | O 2007 | O , | O MAXjet | organization-company announced | O that | O they | O permanently | O suspended | O all | O flight | O operations | O citing | O rising | O fuel | O costs | O , | O increased | O crew | O salaries | O , | O and | O other | O unforeseen | O costs | O . | O",True
"The station 's playlist consisted of mainstream chart hits from the 1970s and 1980s , backed up by slick production and jingles from JAM Creative Productions in Dallas .","['JAM Creative Productions', 'Dallas']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'organization-other', 'organization-other', 'organization-other', 'O', 'location-GPE', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'organization-other', 'organization-other', 'organization-other', 'O', 'location-GPE', 'O']","1. The station | False | The station is not sufficiently specific to be considered an entity.
   2. 1970s and 1980s | False | These are dates or periods, not entities.
   3. JAM Creative Productions | True | JAM Creative Productions is an organization (organization-other).
   4. Dallas | True | Dallas is a city (location-GPE).",1.0,"The | O station | O 's | O playlist | O consisted | O of | O mainstream | O chart | O hits | O from | O the | O 1970s | O and | O 1980s | O , | O backed | O up | O by | O slick | O production | O and | O jingles | O from | O JAM | organization-other Creative | organization-other Productions | organization-other in | O Dallas | location-GPE . | O","The | O station | O 's | O playlist | O consisted | O of | O mainstream | O chart | O hits | O from | O the | O 1970s | O and | O 1980s | O , | O backed | O up | O by | O slick | O production | O and | O jingles | O from | O JAM | organization-other Creative | organization-other Productions | organization-other in | O Dallas | location-GPE . | O",True
Randle finished the season as the only Laker to appear in all 82 games .,['Laker'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'organization-sportsteam', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'organization-sportsteam', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. Randle | False | as it is a person, not an organization or location
2. Laker | True | as it refers to the LA Lakers, a sports team (organization-sportsteam)
3. 82 games | False | as it is an event/measure, not an organization or location.",1.0,Randle | O finished | O the | O season | O as | O the | O only | O Laker | organization-sportsteam to | O appear | O in | O all | O 82 | O games | O . | O,Randle | O finished | O the | O season | O as | O the | O only | O Laker | organization-sportsteam to | O appear | O in | O all | O 82 | O games | O . | O,True
"The Green Bay Packers played several games a year in Milwaukee for 62 seasons , from 1933 through 1994 .","['Green Bay Packers', 'Milwaukee']","['O', 'organization-sportsteam', 'organization-sportsteam', 'organization-sportsteam', 'O', 'O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'organization-sportsteam', 'organization-sportsteam', 'organization-sportsteam', 'O', 'O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. Green Bay Packers | True | as it is a sports team (organization-sportsteam)
2. Milwaukee | True | as it is a city (location-GPE)
3. 62 seasons | False | as it is a duration, not an organization or location
4. 1933 through 1994 | False | as it is a time period, not an organization or location.",1.0,"The | O Green | organization-sportsteam Bay | organization-sportsteam Packers | organization-sportsteam played | O several | O games | O a | O year | O in | O Milwaukee | location-GPE for | O 62 | O seasons | O , | O from | O 1933 | O through | O 1994 | O . | O","The | O Green | organization-sportsteam Bay | organization-sportsteam Packers | organization-sportsteam played | O several | O games | O a | O year | O in | O Milwaukee | location-GPE for | O 62 | O seasons | O , | O from | O 1933 | O through | O 1994 | O . | O",True
"In May 1984 , the New-Ireland Forum Report was published .",['New-Ireland'],"['O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. May 1984 | False | as it is a date
        2. New-Ireland Forum Report | False | as it is an event or a piece of information, not an organization or location.",0.0,"In | O May | O 1984 | O , | O the | O New-Ireland | O Forum | O Report | O was | O published | O . | O","In | O May | O 1984 | O , | O the | O New-Ireland | location-GPE Forum | O Report | O was | O published | O . | O",False
"Until 1918 , Bohemian `` Unter Wurzelsdorf `` belonged to the Cisleithanian part of the Austro-Hungarian monarchy , in the `` Bezirk `` ( district ) of `` Gablonz `` ( now Jablonec nad Nisou ) , one of 94 Bohemian `` Bezirkshauptmannschaften `` .","['Bohemian', 'Unter Wurzelsdorf', 'Cisleithanian', 'Austro-Hungarian', 'Bezirk', 'Gablonz', 'Jablonec nad Nisou', 'Bohemian', 'Bezirkshauptmannschaften']","['O', 'O', 'O', 'location-GPE', 'O', 'location-GPE', 'location-GPE', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'location-GPE', 'location-GPE', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'organization-government/governmentagency', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'location-GPE', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'location-GPE', 'O', 'O', 'O', 'location-GPE', 'location-GPE', 'location-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","1. 1918 | False | as it is a date
2. Bohemian | False | as it is an adjective, not a location or organization
3. Unter Wurzelsdorf | True | as it is a city (location-GPE)
4. Cisleithanian | False | as it refers to a historical political area, not a current location or organization
5. Austro-Hungarian monarchy | False | as it is a historical political title, not a current location or an organization
6. Bezirk | True | as it refers to districts (location-GPE)
7. Gablonz | True | as it refers to the old name of a city (location-GPE)
8. Jablonec nad Nisou | True | as it is a city (location-GPE) 
9. 94 Bohemian Bezirkshauptmannschaften | False | as it is a historical administrative division count, not an organization or location.",0.6153846153846153,"Until | O 1918 | O , | O Bohemian | O `` | O Unter | location-GPE Wurzelsdorf | location-GPE `` | O belonged | O to | O the | O Cisleithanian | O part | O of | O the | O Austro-Hungarian | O monarchy | O , | O in | O the | O `` | O Bezirk | location-GPE `` | O ( | O district | O ) | O of | O `` | O Gablonz | location-GPE `` | O ( | O now | O Jablonec | location-GPE nad | location-GPE Nisou | location-GPE ) | O , | O one | O of | O 94 | O Bohemian | O `` | O Bezirkshauptmannschaften | O `` | O . | O","Until | O 1918 | O , | O Bohemian | location-GPE `` | O Unter | location-GPE Wurzelsdorf | location-GPE `` | O belonged | O to | O the | O Cisleithanian | location-GPE part | O of | O the | O Austro-Hungarian | location-GPE monarchy | O , | O in | O the | O `` | O Bezirk | location-GPE `` | O ( | O district | O ) | O of | O `` | O Gablonz | location-GPE `` | O ( | O now | O Jablonec | location-GPE nad | location-GPE Nisou | location-GPE ) | O , | O one | O of | O 94 | O Bohemian | location-GPE `` | O Bezirkshauptmannschaften | organization-government/governmentagency `` | O . | O",False
