text,entities,truth,pred,meta,f1,pred_text,truth_text,correct
3.7 Composites A composite material is defined as a combination of two or more materials .,"['Composites', 'composite material', 'as', 'materials']","['O', 'B-MATE', 'O', 'B-MATE', 'I-MATE', 'O', 'O', 'B-MATE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONPRI', 'O']","['O', 'B-MATE', 'O', 'B-MATE', 'I-MATE', 'O', 'O', 'O', 'O', 'B-CONPRI', 'O', 'O', 'O', 'O', 'B-MATE', 'O']","1. Composites | True | as it is a material (MATE)
    2. composite material | True | as it is a material (MATE)
    3. defined | False | as it's an action, not an entity
    4. combination | True | as it is related to the concept of combining materials (CONPRI)
    5. materials | True | as it is a general term for material (MATE)",0.5,3.7 | O Composites | B-MATE A | O composite | B-MATE material | I-MATE is | O defined | O as | O a | O combination | B-CONPRI of | O two | O or | O more | O materials | B-MATE . | O,3.7 | O Composites | B-MATE A | O composite | B-MATE material | I-MATE is | O defined | O as | B-MATE a | O combination | O of | O two | O or | O more | O materials | B-CONPRI . | O,False
The post-treatment process also enables the reduction of thermal stresses in AM produced structures .,"['post-treatment', 'reduction', 'thermal stresses', 'AM']","['O', 'B-MANP', 'O', 'O', 'O', 'O', 'B-CONPRI', 'O', 'B-PRO', 'I-PRO', 'O', 'B-MANP', 'O', 'O', 'O']","['O', 'B-MANP', 'I-MANP', 'O', 'O', 'O', 'B-CONPRI', 'O', 'B-MECHP', 'I-MECHP', 'O', 'B-MATE', 'I-MATE', 'I-MATE', 'O']","1. post-treatment process | True | as it is a step in manufacturing (MANP)
2. enables | False | as it is not an entity in the categories provided
3. reduction | True | it refers to a concept in manufacturing (CONPRI)
4. thermal stresses | True | as it is a mechanical property (MECHP)
5. AM produced structures | True | as it is a product or material of an application (MATE)",0.25,The | O post-treatment | B-MANP process | I-MANP also | O enables | O the | O reduction | B-CONPRI of | O thermal | B-MECHP stresses | I-MECHP in | O AM | B-MATE produced | I-MATE structures | I-MATE . | O,The | O post-treatment | B-MANP process | O also | O enables | O the | O reduction | B-CONPRI of | O thermal | B-PRO stresses | I-PRO in | O AM | B-MANP produced | O structures | O . | O,False
"For AM produced porous Ti alloys , powders tend to become small liquid spheres when heated up by laser or electron beams .","['AM', 'porous', 'alloys', 'powders', 'laser', 'electron beams']","['O', 'B-MANP', 'O', 'B-PRO', 'O', 'B-MATE', 'O', 'B-MATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ENAT', 'O', 'B-CONPRI', 'I-CONPRI', 'O']","['O', 'B-MANP', 'O', 'B-MATE', 'I-MATE', 'I-MATE', 'O', 'B-MATE', 'O', 'O', 'O', 'B-CONPRI', 'I-CONPRI', 'I-CONPRI', 'O', 'O', 'O', 'O', 'B-MACEQ', 'O', 'B-MACEQ', 'I-MACEQ', 'O']","1. AM | True | refer to Additive Manufacturing, a manufacturing process (MANP)
2. porous Ti alloys | True | This is a material (MATE)
3. powders | True | This is a raw material form (MATE)
4. small liquid spheres | True | Indicates a transformation, which is a concept (CONPRI)
5. heated | False | This is a descriptive term, not an entity
6. laser | True | This is a tool or equipment used in the process (MACEQ)
7. electron beams | True | This is also a tool or equipment used in the process (MACEQ)",0.3333333333333333,"For | O AM | B-MANP produced | O porous | B-MATE Ti | I-MATE alloys | I-MATE , | O powders | B-MATE tend | O to | O become | O small | B-CONPRI liquid | I-CONPRI spheres | I-CONPRI when | O heated | O up | O by | O laser | B-MACEQ or | O electron | B-MACEQ beams | I-MACEQ . | O","For | O AM | B-MANP produced | O porous | B-PRO Ti | O alloys | B-MATE , | O powders | B-MATE tend | O to | O become | O small | O liquid | O spheres | O when | O heated | O up | O by | O laser | B-ENAT or | O electron | B-CONPRI beams | I-CONPRI . | O",False
The actual novelties are the iterative internal and external boundary modifications centred on a recursive subdivision of domains to ensure the final design complies with the allowable inclination angle .,"['boundary', 'design', 'inclination angle']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FEAT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FEAT', 'O', 'O', 'O', 'O', 'B-FEAT', 'I-FEAT', 'O']","['O', 'O', 'O', 'O', 'O', 'B-CONPRI', 'I-CONPRI', 'I-CONPRI', 'I-CONPRI', 'I-CONPRI', 'I-CONPRI', 'O', 'O', 'O', 'B-CONPRI', 'I-CONPRI', 'I-CONPRI', 'I-CONPRI', 'O', 'O', 'O', 'B-MANP', 'I-MANP', 'O', 'O', 'O', 'B-PROP', 'I-PROP', 'I-PROP', 'O']","1. actual novelties | False | it does not fit into any entity category.
2. iterative internal and external boundary modifications | True | refers to a concept/Principle being used in the process (CONPRI).
3. recursive subdivision of domains | True | it can be considered as a concept used in the design process (CONPRI).
4. final design | True | it is a result of a manufacturing process (MANP).
5. allowable inclination angle | True | it can be considered as a parameter or feature (PROP).",0.0,The | O actual | O novelties | O are | O the | O iterative | B-CONPRI internal | I-CONPRI and | I-CONPRI external | I-CONPRI boundary | I-CONPRI modifications | I-CONPRI centred | O on | O a | O recursive | B-CONPRI subdivision | I-CONPRI of | I-CONPRI domains | I-CONPRI to | O ensure | O the | O final | B-MANP design | I-MANP complies | O with | O the | O allowable | B-PROP inclination | I-PROP angle | I-PROP . | O,The | O actual | O novelties | O are | O the | O iterative | O internal | O and | O external | O boundary | B-FEAT modifications | O centred | O on | O a | O recursive | O subdivision | O of | O domains | O to | O ensure | O the | O final | O design | B-FEAT complies | O with | O the | O allowable | O inclination | B-FEAT angle | I-FEAT . | O,False
The physical and mechanical properties of human bone are summarized in 1 .,"['mechanical properties', 'bone']","['O', 'O', 'O', 'B-CONPRI', 'I-CONPRI', 'O', 'O', 'B-BIOP', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-PROP', 'I-PROP', 'O', 'B-BIOP', 'I-BIOP', 'O', 'O', 'O', 'O', 'O']","1. physical properties | True | because this represents properties (PROP) of the human bone.
2. mechanical properties | True | because this represents properties (PROP) of the human bone.
3. human bone | True | as it is a biomedical entity (BIOP).",0.0,The | O physical | O and | O mechanical | B-PROP properties | I-PROP of | O human | B-BIOP bone | I-BIOP are | O summarized | O in | O 1 | O . | O,The | O physical | O and | O mechanical | B-CONPRI properties | I-CONPRI of | O human | O bone | B-BIOP are | O summarized | O in | O 1 | O . | O,False
"With the combination of the density-gradients from TO with a size optimisation , Daynes derived functionally graded truss-structures that align with the isostatic lines i.e .","['functionally graded truss-structures', 'isostatic lines']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FEAT', 'I-FEAT', 'I-FEAT', 'O', 'O', 'O', 'O', 'B-CONPRI', 'I-CONPRI', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-PROP', 'O', 'O', 'O', 'O', 'B-CONPRI', 'I-CONPRI', 'O', 'O', 'O', 'B-ENGF', 'I-ENGF', 'I-ENGF', 'O', 'O', 'O', 'O', 'B-ENGF', 'I-ENGF', 'O', 'O']","1. combination | False | as it is not an entity defined above 
    2. density-gradients | True | as it is a property (PROP)
    3. TO | False | as it is not an entity defined above 
    4. size optimisation | True | as it is a concept/principles (CONPRI)
    5. Daynes | False | as it is a name and not a match with any entity category
    6. functionally graded truss-structures | True | as these are features of engineering (ENGF)
    7. isostatic lines | True | as they are features of engineering (ENGF)",0.0,"With | O the | O combination | O of | O the | O density-gradients | B-PROP from | O TO | O with | O a | O size | B-CONPRI optimisation | I-CONPRI , | O Daynes | O derived | O functionally | B-ENGF graded | I-ENGF truss-structures | I-ENGF that | O align | O with | O the | O isostatic | B-ENGF lines | I-ENGF i.e | O . | O","With | O the | O combination | O of | O the | O density-gradients | O from | O TO | O with | O a | O size | O optimisation | O , | O Daynes | O derived | O functionally | B-FEAT graded | I-FEAT truss-structures | I-FEAT that | O align | O with | O the | O isostatic | B-CONPRI lines | I-CONPRI i.e | O . | O",False
Computer aided design and/or computer aided manufacturing have become progressively widespread within the medical and dental fields .,"['Computer aided design', 'computer aided manufacturing', 'medical', 'dental']","['B-ENAT', 'I-ENAT', 'I-ENAT', 'O', 'B-ENAT', 'I-ENAT', 'I-ENAT', 'O', 'O', 'O', 'O', 'O', 'O', 'B-APPL', 'O', 'B-APPL', 'O', 'O']","['B-ENAT', 'I-ENAT', 'I-ENAT', 'O', 'B-ENAT', 'I-ENAT', 'I-ENAT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BIOP', 'I-BIOP', 'O']","1. Computer aided design | True | as it is an enabling technology (ENAT)
    2. computer aided manufacturing | True | as it is an enabling technology (ENAT)
    3. progressively widespread | False | as it is not an entity
    4. medical fields | True | as it is regarding biomedical entities (BIOP)
    5. dental fields | True | as it is regarding biomedical entities (BIOP)",0.5714285714285715,Computer | B-ENAT aided | I-ENAT design | I-ENAT and/or | O computer | B-ENAT aided | I-ENAT manufacturing | I-ENAT have | O become | O progressively | O widespread | O within | O the | O medical | O and | O dental | B-BIOP fields | I-BIOP . | O,Computer | B-ENAT aided | I-ENAT design | I-ENAT and/or | O computer | B-ENAT aided | I-ENAT manufacturing | I-ENAT have | O become | O progressively | O widespread | O within | O the | O medical | B-APPL and | O dental | B-APPL fields | O . | O,False
"In fact , one of the first true observations of cellular structures in nature can be traced back to 1665 , when Robert Hooke published his observation of the cellularity in cork and suggested that the unique behavior of cork was attributable to its underlying cellular structure .","['cellular structures', 'be', 'cork', 'cork', 'cellular structure']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FEAT', 'I-FEAT', 'O', 'O', 'O', 'B-MATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MATE', 'O', 'O', 'O', 'O', 'O', 'B-FEAT', 'I-FEAT', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BIOP', 'I-BIOP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BIOP', 'I-BIOP', 'I-BIOP', 'O', 'O', 'O', 'O', 'B-PROP', 'I-PROP', 'I-PROP', 'I-PROP', 'O', 'O', 'O', 'O', 'B-BIOP', 'I-BIOP', 'I-BIOP', 'O']","1. cellular structures | True | as they are BioMedical entities (BIOP)
2. nature | False | as it is not classified under the defined types
3. Robert Hooke | False | as this is a person's name and not an entity
4. observation | False | as this does not fit under any of the defined types
5. cellularity in cork | True | as they are BioMedical entities (BIOP)
6. unique behavior of cork | True | as it is related to the properties (PROP) of the cork
7. underlying cellular structure | True | as they are BioMedical entities (BIOP)",0.0,"In | O fact | O , | O one | O of | O the | O first | O true | O observations | O of | O cellular | B-BIOP structures | I-BIOP in | O nature | O can | O be | O traced | O back | O to | O 1665 | O , | O when | O Robert | O Hooke | O published | O his | O observation | O of | O the | O cellularity | B-BIOP in | I-BIOP cork | I-BIOP and | O suggested | O that | O the | O unique | B-PROP behavior | I-PROP of | I-PROP cork | I-PROP was | O attributable | O to | O its | O underlying | B-BIOP cellular | I-BIOP structure | I-BIOP . | O","In | O fact | O , | O one | O of | O the | O first | O true | O observations | O of | O cellular | B-FEAT structures | I-FEAT in | O nature | O can | O be | B-MATE traced | O back | O to | O 1665 | O , | O when | O Robert | O Hooke | O published | O his | O observation | O of | O the | O cellularity | O in | O cork | B-MATE and | O suggested | O that | O the | O unique | O behavior | O of | O cork | B-MATE was | O attributable | O to | O its | O underlying | O cellular | B-FEAT structure | I-FEAT . | O",False
The Morimodel is another well-known theory that considers a non-dilute composite containing many identical spheroidal particles .,"['composite', 'particles']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MATE', 'O', 'O', 'O', 'O', 'B-CONPRI', 'O']","['O', 'B-CONPRI', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MATE', 'I-MATE', 'O', 'O', 'B-PROP', 'I-PROP', 'I-PROP', 'O']","1. Morimodel | True | as it refers to a well-known concept or principle (CONPRI)
2. theory | False | this term is too general and doesn't specify any aspect of manufacturing
3. non-dilute composite | True | this term refers to a type of material (MATE)
4. identical spheroidal particles | True | as it refers to properties of the composite (PROP)",0.0,The | O Morimodel | B-CONPRI is | O another | O well-known | O theory | O that | O considers | O a | O non-dilute | B-MATE composite | I-MATE containing | O many | O identical | B-PROP spheroidal | I-PROP particles | I-PROP . | O,The | O Morimodel | O is | O another | O well-known | O theory | O that | O considers | O a | O non-dilute | O composite | B-MATE containing | O many | O identical | O spheroidal | O particles | B-CONPRI . | O,False
It was discovered that several upper layers which are in austenite phase posses hardness value higher than the final bulk microstructure of thermally decomposited martensite .,"['austenite phase', 'hardness', 'microstructure', 'thermally decomposited martensite']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'I-CHAR', 'O', 'B-PRO', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONPRI', 'O', 'B-MATE', 'I-MATE', 'I-MATE', 'O']","['O', 'O', 'O', 'O', 'O', 'B-ENGF', 'I-ENGF', 'O', 'O', 'O', 'B-PRO', 'I-PRO', 'O', 'B-MECHP', 'I-MECHP', 'O', 'O', 'O', 'B-PRO', 'I-PRO', 'I-PRO', 'O', 'B-PROC', 'I-PROC', 'I-PROC', 'O']","1. discovered | False |as it is a process but not related to manufacturing or engineering.
2. upper layers | True | as it is referring a feature of the material being used (ENGF).
3. austenite phase | True | as it may be a property of the material being used (PRO)
4. hardness value | True | because it is a mechanical property (MECHP)
5. final bulk microstructure | True | as it is a property of the material (PRO)
6. thermally decomposited martensite | True | as it is a Process (PROC) related to the treatment of the material.",0.0,It | O was | O discovered | O that | O several | O upper | B-ENGF layers | I-ENGF which | O are | O in | O austenite | B-PRO phase | I-PRO posses | O hardness | B-MECHP value | I-MECHP higher | O than | O the | O final | B-PRO bulk | I-PRO microstructure | I-PRO of | O thermally | B-PROC decomposited | I-PROC martensite | I-PROC . | O,It | O was | O discovered | O that | O several | O upper | O layers | O which | O are | O in | O austenite | B-CHAR phase | I-CHAR posses | O hardness | B-PRO value | O higher | O than | O the | O final | O bulk | O microstructure | B-CONPRI of | O thermally | B-MATE decomposited | I-MATE martensite | I-MATE . | O,False
