text,entities,truth,pred,meta,f1,pred_text,truth_text,correct
"It was discovered on 22 February 1938 , by Finnish astronomer Yrjö Väisälä at Turku Observatory in Southwest Finland , and later named for Johannes Gabriel Granö , rector of the University of Turku .","['Finnish', 'Yrjö Väisälä', 'Turku Observatory', 'Southwest Finland', 'Johannes Gabriel Granö', 'University of Turku']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-misc', 'O', 'B-scientist', 'I-scientist', 'O', 'B-scientist', 'I-scientist', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'B-scientist', 'I-scientist', 'I-scientist', 'O', 'O', 'O', 'O', 'B-university', 'I-university', 'I-university', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'B-organisation', 'I-organisation', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'B-university', 'I-university', 'I-university', 'O']","1. 22 February 1938 | False | as it is a date, which are not entities 
    2. Finnish | False | as it is an adjective describing the astronomer's nationality
    3. astronomer | False | as it is a job title, not a specific person
    4. Yrjö Väisälä | True | as this is the name of the Finnish astronomer who made the discovery (person)
    5. Turku Observatory | True | as this is a specific location where the discovery was made (organisation)
    6. Southwest Finland | True | as this is a specific location within Finland (location)
    7. Johannes Gabriel Granö | True | as this is the name of a person that an entity was named after (person)
    8. University of Turku | True | as this is a named higher education institution (university).",0.3636363636363636,"It | O was | O discovered | O on | O 22 | O February | O 1938 | O , | O by | O Finnish | O astronomer | O Yrjö | B-person Väisälä | I-person at | O Turku | B-organisation Observatory | I-organisation in | O Southwest | B-location Finland | I-location , | O and | O later | O named | O for | O Johannes | B-person Gabriel | I-person Granö | I-person , | O rector | O of | O the | O University | B-university of | I-university Turku | I-university . | O","It | O was | O discovered | O on | O 22 | O February | O 1938 | O , | O by | O Finnish | B-misc astronomer | O Yrjö | B-scientist Väisälä | I-scientist at | O Turku | B-scientist Observatory | I-scientist in | O Southwest | B-location Finland | I-location , | O and | O later | O named | O for | O Johannes | B-scientist Gabriel | I-scientist Granö | I-scientist , | O rector | O of | O the | O University | B-university of | I-university Turku | I-university . | O",False
"In addition , he is the founding editor of Theoretical Population Biology ( 1971-2013 ) and an associate editor of Genetics , Human Genetics , Annals of Human Genetics , Annals of Human Biology , and Complexity .","['Theoretical Population Biology', 'Genetics', 'Human Genetics', 'Annals of Human Genetics', 'Annals of Human Biology', 'Complexity']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-academicjournal', 'I-academicjournal', 'I-academicjournal', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-academicjournal', 'O', 'B-academicjournal', 'I-academicjournal', 'O', 'B-academicjournal', 'I-academicjournal', 'I-academicjournal', 'I-academicjournal', 'O', 'B-academicjournal', 'I-academicjournal', 'I-academicjournal', 'I-academicjournal', 'O', 'O', 'B-academicjournal', 'O']","['I-academicjournal', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-academicjournal', 'I-academicjournal', 'I-academicjournal', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-academicjournal', 'O', 'O', 'O', 'O', 'B-academicjournal', 'I-academicjournal', 'I-academicjournal', 'I-academicjournal', 'O', 'B-academicjournal', 'I-academicjournal', 'I-academicjournal', 'I-academicjournal', 'O', 'O', 'B-academicjournal', 'B-academicjournal']","1. Theoretical Population Biology | True | as it is an academic journal (academicjournal)
2. Genetics | True | as it is an academic journal (academicjournal)
3. Human Genetics | True | as it is an academic journal (academicjournal)
4. Annals of Human Genetics | True | as it is an academic journal (academicjournal)
5. Annals of Human Biology | True | as it is an academic journal (academicjournal)
6. Complexity | True | as it is an academic journal (academicjournal)",0.7692307692307692,"In | I-academicjournal addition | O , | O he | O is | O the | O founding | O editor | O of | O Theoretical | B-academicjournal Population | I-academicjournal Biology | I-academicjournal ( | O 1971-2013 | O ) | O and | O an | O associate | O editor | O of | O Genetics | B-academicjournal , | O Human | O Genetics | O , | O Annals | B-academicjournal of | I-academicjournal Human | I-academicjournal Genetics | I-academicjournal , | O Annals | B-academicjournal of | I-academicjournal Human | I-academicjournal Biology | I-academicjournal , | O and | O Complexity | B-academicjournal . | B-academicjournal","In | O addition | O , | O he | O is | O the | O founding | O editor | O of | O Theoretical | B-academicjournal Population | I-academicjournal Biology | I-academicjournal ( | O 1971-2013 | O ) | O and | O an | O associate | O editor | O of | O Genetics | B-academicjournal , | O Human | B-academicjournal Genetics | I-academicjournal , | O Annals | B-academicjournal of | I-academicjournal Human | I-academicjournal Genetics | I-academicjournal , | O Annals | B-academicjournal of | I-academicjournal Human | I-academicjournal Biology | I-academicjournal , | O and | O Complexity | B-academicjournal . | O",False
"Pre-implantation in the uterine wall , rate of loss is undetectable as the Human chorionic gonadotropin hormone is not secreted until implantation .","['uterine wall', 'Human chorionic gonadotropin hormone']","['O', 'O', 'O', 'B-misc', 'I-misc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'I-protein', 'I-protein', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-protein', 'I-protein', 'I-protein', 'I-protein', 'O', 'O', 'O', 'O', 'O', 'O']","1. Pre-implantation | False | as it is a stage in a biological process, not an entity
   2. uterine wall | False | as it is a body part, not an entity
   3. rate of loss | False | as it is not an entity but a term to quantify a phenomenon, more like a process
   4. Human chorionic gonadotropin hormone | True | as it is a hormone, it can be considered as a biological compound/protein (protein)
   5. implantation | False | as it is a process, not an entity.",0.6666666666666666,"Pre-implantation | O in | O the | O uterine | O wall | O , | O rate | O of | O loss | O is | O undetectable | O as | O the | O Human | B-protein chorionic | I-protein gonadotropin | I-protein hormone | I-protein is | O not | O secreted | O until | O implantation | O . | O","Pre-implantation | O in | O the | O uterine | B-misc wall | I-misc , | O rate | O of | O loss | O is | O undetectable | O as | O the | O Human | B-protein chorionic | I-protein gonadotropin | I-protein hormone | I-protein is | O not | O secreted | O until | O implantation | O . | O",False
"He has also received honorary doctorates from the universities of Newcastle , Surrey , Tel Aviv University , McGill , Simon Fraser University and the University of Tromsø .","['universities of Newcastle', 'Surrey', 'Tel Aviv University', 'McGill', 'Simon Fraser University', 'University of Tromsø']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-university', 'I-university', 'I-university', 'O', 'B-location', 'O', 'B-university', 'I-university', 'I-university', 'O', 'B-location', 'O', 'B-university', 'I-university', 'I-university', 'O', 'O', 'B-university', 'I-university', 'I-university', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-university', 'O', 'B-university', 'O', 'B-university', 'I-university', 'I-university', 'O', 'B-university', 'O', 'B-university', 'I-university', 'I-university', 'O', 'O', 'B-university', 'I-university', 'I-university', 'O']","1. honorary doctorates | False | it is an award but it is not a specific award with a proper name
2. universities | False | it is a general term not a specific entity
3. Newcastle | True | assuming it refers to Newcastle University (university)
4. Surrey | True | assuming it refers to the University of Surrey (university)
5. Tel Aviv University | True | (university)
6. McGill | True | assuming it refers to McGill University (university)
7. Simon Fraser University | True | (university)
8. University of Tromsø | True | (university)",0.5,"He | O has | O also | O received | O honorary | O doctorates | O from | O the | O universities | O of | O Newcastle | B-university , | O Surrey | B-university , | O Tel | B-university Aviv | I-university University | I-university , | O McGill | B-university , | O Simon | B-university Fraser | I-university University | I-university and | O the | O University | B-university of | I-university Tromsø | I-university . | O","He | O has | O also | O received | O honorary | O doctorates | O from | O the | O universities | B-university of | I-university Newcastle | I-university , | O Surrey | B-location , | O Tel | B-university Aviv | I-university University | I-university , | O McGill | B-location , | O Simon | B-university Fraser | I-university University | I-university and | O the | O University | B-university of | I-university Tromsø | I-university . | O",False
"1 The eight planets are : Mercury , Venus , Earth , Mars , Jupiter , Saturn , Uranus , and Neptune .","['Mercury', 'Venus', 'Earth', 'Mars', 'Jupiter', 'Saturn', 'Uranus', 'Neptune']","['O', 'O', 'O', 'O', 'O', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'O', 'B-astronomicalobject', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'B-astronomicalobject', 'O', 'O', 'B-astronomicalobject', 'O']","1. Mercury | True | as it is a planet (astronomicalobject)
2. Venus | True | as it is a planet (astronomicalobject)
3. Earth | True | as it is a planet (astronomicalobject)
4. Mars | True | as it is a planet (astronomicalobject)
5. Jupiter | True | as it is a planet (astronomicalobject)
6. Saturn | True | as it is a planet (astronomicalobject)
7. Uranus | True | as it is a planet (astronomicalobject)
8. Neptune | True | as it is a planet (astronomicalobject)",1.0,"1 | O The | O eight | O planets | O are | O : | O Mercury | B-astronomicalobject , | O Venus | B-astronomicalobject , | O Earth | B-astronomicalobject , | O Mars | B-astronomicalobject , | O Jupiter | B-astronomicalobject , | O Saturn | B-astronomicalobject , | O Uranus | B-astronomicalobject , | O and | O Neptune | B-astronomicalobject . | O","1 | O The | O eight | O planets | O are | O : | O Mercury | B-astronomicalobject , | O Venus | B-astronomicalobject , | O Earth | B-astronomicalobject , | O Mars | B-astronomicalobject , | O Jupiter | B-astronomicalobject , | O Saturn | B-astronomicalobject , | O Uranus | B-astronomicalobject , | O and | O Neptune | B-astronomicalobject . | O",True
"This minor planet was named by Tadeusz Banachiewicz after Jan Śniadecki ( 1756-1830 ) , a Polish professor of mathematics and astronomy , who founded the Kraków Observatory ( ) .","['minor planet', 'Tadeusz Banachiewicz', 'Jan Śniadecki', 'Polish', 'mathematics', 'astronomy', 'Kraków Observatory']","['O', 'B-misc', 'I-misc', 'O', 'O', 'O', 'B-scientist', 'I-scientist', 'O', 'B-scientist', 'I-scientist', 'O', 'O', 'O', 'O', 'O', 'B-misc', 'O', 'O', 'B-discipline', 'O', 'B-discipline', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'O', 'O', 'O']","['O', 'B-astronomicalobject', 'I-astronomicalobject', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-discipline', 'O', 'B-discipline', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'O', 'O', 'O']","1. minor planet | True | as a minor planet is an astronomical object (astronomicalobject)
2. Tadeusz Banachiewicz | True | as it is a named person, possibly a scientist (person)
3. Jan Śniadecki | True | as it is a named person, possibly a scientist (person)
4. 1756-1830 | False | as these are dates, not entities
5. Polish | False | as it is an adjective, not an entity
6. professor | False | as it is a profession, not an entity
7. mathematics | True | as it is a scientific discipline (discipline)
8. astronomy | True | as it is a scientific discipline (discipline)
9. Kraków Observatory | True | as it is a named organisation (organisation)",0.4615384615384615,"This | O minor | B-astronomicalobject planet | I-astronomicalobject was | O named | O by | O Tadeusz | B-person Banachiewicz | I-person after | O Jan | B-person Śniadecki | I-person ( | O 1756-1830 | O ) | O , | O a | O Polish | O professor | O of | O mathematics | B-discipline and | O astronomy | B-discipline , | O who | O founded | O the | O Kraków | B-organisation Observatory | I-organisation ( | O ) | O . | O","This | O minor | B-misc planet | I-misc was | O named | O by | O Tadeusz | B-scientist Banachiewicz | I-scientist after | O Jan | B-scientist Śniadecki | I-scientist ( | O 1756-1830 | O ) | O , | O a | O Polish | B-misc professor | O of | O mathematics | B-discipline and | O astronomy | B-discipline , | O who | O founded | O the | O Kraków | B-organisation Observatory | I-organisation ( | O ) | O . | O",False
"The awards that Mayr received include the National Medal of Science , the Balzan Prize , the Sarton Medal of the History of Science Society , the International Prize for Biology , the Loye and Alden Miller Research Award , and the Lewis Thomas Prize for Writing about Science .","['Mayr', 'National Medal of Science', 'Balzan Prize', 'Sarton Medal of the History of Science Society', 'International Prize for Biology', 'Loye and Alden Miller Research Award', 'Lewis Thomas Prize for Writing about Science']","['O', 'O', 'O', 'B-scientist', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'O', 'O', 'B-award', 'I-award', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'O']","['O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'O', 'O', 'B-award', 'I-award', 'O', 'O', 'B-award', 'I-award', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'I-award', 'O']","1. Mayr | True | as noun and seems to be referring to a person (person)
2. National Medal of Science | True | as it is a known award (award)
3. Balzan Prize | True | as it is a known award (award)
4. Sarton Medal | True | as it is a known award (award)
5. History of Science Society | True | as it seems to be an organized entity (organisation)
6. International Prize for Biology | True | as it is a known award (award)
7. Loye and Alden Miller Research Award | True | as it is a known award (award)
8. Lewis Thomas Prize for Writing about Science | True | as it is a known award (award)",0.6666666666666666,"The | O awards | O that | O Mayr | B-person received | O include | O the | O National | B-award Medal | I-award of | I-award Science | I-award , | O the | O Balzan | B-award Prize | I-award , | O the | O Sarton | B-award Medal | I-award of | O the | O History | B-organisation of | I-organisation Science | I-organisation Society | I-organisation , | O the | O International | B-award Prize | I-award for | I-award Biology | I-award , | O the | O Loye | B-award and | I-award Alden | I-award Miller | I-award Research | I-award Award | I-award , | O and | O the | O Lewis | B-award Thomas | I-award Prize | I-award for | I-award Writing | I-award about | I-award Science | I-award . | O","The | O awards | O that | O Mayr | B-scientist received | O include | O the | O National | B-award Medal | I-award of | I-award Science | I-award , | O the | O Balzan | B-award Prize | I-award , | O the | O Sarton | B-award Medal | I-award of | I-award the | I-award History | I-award of | I-award Science | I-award Society | I-award , | O the | O International | B-award Prize | I-award for | I-award Biology | I-award , | O the | O Loye | B-award and | I-award Alden | I-award Miller | I-award Research | I-award Award | I-award , | O and | O the | O Lewis | B-award Thomas | I-award Prize | I-award for | I-award Writing | I-award about | I-award Science | I-award . | O",False
"On 15 June 1826 he was elected Fellow of the Royal Society , and in 1830 was one of the founders of the Royal Geographical Society ( RGS ) .","['Fellow of the Royal Society', 'Royal Geographical Society', 'RGS']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'I-award', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O', 'B-organisation', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'B-organisation', 'I-organisation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-s', 'I-s', 'I-s', 'B-organisation', 'I-organisation', 'I-organisation', 'O', 'O', 'O', 'O']","1. 15 June 1826 | False | as dates are not entities
2. Fellow of the Royal Society | True | as it refers to an award or title (award)
3. Royal Society | True | as it is an organisation (organisation)
4. 1830 | False | as dates are not entities
5. founders of the Royal Geographical Society ( RGS ) | True | as it refers to member(s) or founder(s) of an organisation (misc)
6. Royal Geographical Society ( RGS ) | True | as it is an organisation (organisation)",0.2857142857142857,"On | O 15 | O June | O 1826 | O he | O was | O elected | O Fellow | B-award of | I-award the | I-award Royal | B-organisation Society | I-organisation , | O and | O in | O 1830 | O was | O one | O of | O the | O founders | B-s of | I-s the | I-s Royal | B-organisation Geographical | I-organisation Society | I-organisation ( | O RGS | O ) | O . | O","On | O 15 | O June | O 1826 | O he | O was | O elected | O Fellow | B-award of | I-award the | I-award Royal | I-award Society | I-award , | O and | O in | O 1830 | O was | O one | O of | O the | O founders | O of | O the | O Royal | B-organisation Geographical | I-organisation Society | I-organisation ( | O RGS | B-organisation ) | O . | O",False
"In recognition of his contribution to the creation of modern electrical science , an international convention , signed at the 1881 International Exposition of Electricity , established the ampere as a standard unit of electrical measurement , along with the coulomb , volt , ohm , and watt , which are named , respectively , after Ampère 's contemporaries Charles-Augustin de Coulomb of France , Alessandro Volta of Italy , Georg Ohm of Germany , and James Watt of Scotland .","['electrical science', '1881 International Exposition of Electricity', 'ampere', 'coulomb', 'volt', 'ohm', 'watt', 'Ampère', 'Charles-Augustin de Coulomb', 'France', 'Alessandro Volta', 'Italy', 'Georg Ohm', 'Germany', 'James Watt', 'Scotland']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-discipline', 'I-discipline', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event', 'I-event', 'I-event', 'I-event', 'I-event', 'O', 'O', 'O', 'B-misc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-misc', 'O', 'B-misc', 'O', 'B-misc', 'O', 'O', 'B-misc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-scientist', 'O', 'O', 'B-scientist', 'I-scientist', 'I-scientist', 'O', 'B-country', 'O', 'B-scientist', 'I-scientist', 'O', 'B-country', 'O', 'B-scientist', 'I-scientist', 'O', 'B-country', 'O', 'O', 'B-scientist', 'I-scientist', 'O', 'B-country', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-event', 'I-event', 'I-event', 'I-event', 'I-event', 'O', 'O', 'O', 'B-misc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-misc', 'O', 'B-misc', 'O', 'B-misc', 'O', 'O', 'B-misc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'B-country', 'O', 'B-person', 'I-person', 'O', 'B-country', 'O', 'B-person', 'I-person', 'O', 'B-country', 'O', 'O', 'B-person', 'I-person', 'O', 'B-location', 'O']","1. modern electrical science | False | as this is not a discipline but a syntagmatic phrase.
2. international convention | False | as it's a common noun and does not refer to a specific event.
3. 1881 International Exposition of Electricity | True | as it is an event (event)
4. ampere | True | as it is a unit of measurement named after a person, André-Marie Ampère, and is typically categorized as a (misc) entity.
5. standard unit of electrical measurement | False | as it is a phrase that doesn't refer to a specific entity.
6. coulomb | True | as it is a unit of measurement named after a person, Charles-Augustin de Coulomb, and is typically categorized as a (misc) entity.
7. volt | True | as it is a unit of measurement named after a person, Alessandro Volta, and is typically categorized as a (misc) entity.
8. ohm | True | as it is a unit of measurement named after a person, Georg Ohm, and is typically categorized as a (misc) entity.
9. watt | True | as it is a unit of measurement named after a person, James Watt, and is typically categorized as a (misc) entity.
10. Ampère | True | as it is a person's surname (person)
11. Charles-Augustin de Coulomb | True | as it is a person's name (person)
12. France | True | as it is a country (country)
13. Alessandro Volta | True | as it is a person's name (person)
14. Italy | True | as it is a country (country)
15. Georg Ohm | True | as it is a person's name (person)
16. Germany | True | as it is a country (country)
17. James Watt | True | as it is a person's name (person)
18. Scotland | True | as it is a part of the United Kingdom and is typically categorized as a (location).",0.5806451612903225,"In | O recognition | O of | O his | O contribution | O to | O the | O creation | O of | O modern | O electrical | O science | O , | O an | O international | O convention | O , | O signed | O at | O the | O 1881 | B-event International | I-event Exposition | I-event of | I-event Electricity | I-event , | O established | O the | O ampere | B-misc as | O a | O standard | O unit | O of | O electrical | O measurement | O , | O along | O with | O the | O coulomb | B-misc , | O volt | B-misc , | O ohm | B-misc , | O and | O watt | B-misc , | O which | O are | O named | O , | O respectively | O , | O after | O Ampère | B-person 's | O contemporaries | O Charles-Augustin | B-person de | I-person Coulomb | I-person of | O France | B-country , | O Alessandro | B-person Volta | I-person of | O Italy | B-country , | O Georg | B-person Ohm | I-person of | O Germany | B-country , | O and | O James | B-person Watt | I-person of | O Scotland | B-location . | O","In | O recognition | O of | O his | O contribution | O to | O the | O creation | O of | O modern | O electrical | B-discipline science | I-discipline , | O an | O international | O convention | O , | O signed | O at | O the | O 1881 | B-event International | I-event Exposition | I-event of | I-event Electricity | I-event , | O established | O the | O ampere | B-misc as | O a | O standard | O unit | O of | O electrical | O measurement | O , | O along | O with | O the | O coulomb | B-misc , | O volt | B-misc , | O ohm | B-misc , | O and | O watt | B-misc , | O which | O are | O named | O , | O respectively | O , | O after | O Ampère | B-scientist 's | O contemporaries | O Charles-Augustin | B-scientist de | I-scientist Coulomb | I-scientist of | O France | B-country , | O Alessandro | B-scientist Volta | I-scientist of | O Italy | B-country , | O Georg | B-scientist Ohm | I-scientist of | O Germany | B-country , | O and | O James | B-scientist Watt | I-scientist of | O Scotland | B-country . | O",False
"On February 12 , 2005 , he was given a Grammy Lifetime Achievement Award by The Recording Academy .","['Grammy Lifetime Achievement Award', 'The Recording Academy']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-award', 'I-award', 'I-award', 'I-award', 'O', 'B-organisation', 'I-organisation', 'I-organisation', 'O']","1. February 12, 2005 | False | as dates are not entities
    2. Grammy Lifetime Achievement Award | True | as it is an award (award)
    3. The Recording Academy | True | as it is an organisation (organisation)",1.0,"On | O February | O 12 | O , | O 2005 | O , | O he | O was | O given | O a | O Grammy | B-award Lifetime | I-award Achievement | I-award Award | I-award by | O The | B-organisation Recording | I-organisation Academy | I-organisation . | O","On | O February | O 12 | O , | O 2005 | O , | O he | O was | O given | O a | O Grammy | B-award Lifetime | I-award Achievement | I-award Award | I-award by | O The | B-organisation Recording | I-organisation Academy | I-organisation . | O",True
